stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.75,0,0,0,136.47,0,0,0,0,0,0,0,0,0
 10-12,0,17.65,0,15.95,0,4.97,0,0,0,0,0,0,0,0,0,0,86.38,0,0,0,51.71,4.24,0,29.56,0,0,0,0,0,0
 14-21,0,0.88,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.81,0,0,0.88,0.92,0,0,0
 24-34,0,0,2.95,0,0,1.16,3.48,0,0,1.6,0,0,0,5.73,0,2.57,17.61,0,0,0.95,0,3.45,0,0,1.4,2.76,7.77,6.04,0,0
 36-46,0,0,0,0,0,0.72,10.56,0,0,16.87,0,0,0,13.08,0,2.04,57.21,0,0,0,0,0,0,0,9.58,0,8.98,0.91,0,0
 48-58,0,0,5.43,0,0,10.69,21.41,0,0.48,4.78,0,0,0,14.25,0,0.77,51.24,0.43,0,0,0,6.41,0,0,10.28,0,4.48,8.32,0,0
 60-70,0,0,0.95,0,0,11.64,13.94,1.49,0,20.19,0,0,0,4.97,0,2.91,17.46,0,0,0,0,2.1,0,0,4.7,0,2.71,0,0,0
 72-82,0,0,0,0,0,13.5,16.02,0,0,4.83,0,0,0,5.68,0,9.13,30.25,1.67,0,0,0,2.22,0,0,0,0,10.04,1.84,0,0
 84-94,0,0,17.52,1.75,0,20.17,5.11,0,0,3.45,0,0,4.67,15.27,0,2.71,20.71,0,0,2.5,0,7.19,0,0,2.66,0,0.85,0,0,0
 96-106,0,0,6.58,0,0,14.22,11.38,0,0,4.03,1.07,7.38,0,2.69,0,1.2,20.84,1.4,6.15,0,0,7.43,0,0,1.46,0,1.83,1.35,0.66,19.63
108-118,0,0,2.4,0,0,10.68,6.28,0.42,0,0,0,0,0,18.72,0.71,1.08,9.82,0,0,0,0,4.02,0,0,1.62,0,0,0,0,0
120,0,0,4.99,0,3.69,13.32,3.48,4.94,0,0,0,0,0,2.77,0,2.31,22.28,0,0,0,0,0,1.12,0,2.35,0,9.62,0,0,0
