stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,1.67,7.4,0.97,0.86,0,0.88,0,4.76,0.98,0.82,0,0,2.91,0.9,3.87,45.67,0,0.85,0,1.69,0,10.26,0.86,8.33,18.46,1.01
 24-34,0,0.61,0,4.2,0,0,0,0,0,0,0,0,0,8.46,3.29,45.63,0.65,1.13,0.71,0,1.68,0,0,0,3.93,0.8
 36-46,0,0.86,0,11.14,0,0,0,0.63,0,0,0,0,0,8.19,0,23.1,0,0,0,0,6.95,0,0,0,2.28,0.55
 48-58,0,1.59,0,10.01,0.86,0,0,2.15,0,0,0,1.27,0,2.56,0.53,16.06,0,0,0,0,0.38,0,0,0,3.13,0.96
 60-70,0,0,0,7.59,0,0.68,0,0.85,0,0,0,0,0,7.62,3.63,17.28,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.73,0,3.22,0,0,2.51,1.12,1.81,0,1.43,0.72,0,5.26,0,21.12,0,0,0,0,0,0,0,0,4.72,3.77
 84-94,0,2.13,0,7.64,0,0,0,0.83,0,0,0,0,0,10.34,0,4,0,0,2.38,0,3.13,0,0,0,1.86,1.21
 96-106,0,0,0,8.27,0,0,0,0,0,0,0,0,0,2.92,0,2.45,0,0,0.65,0,2.23,0,1.27,0,0,0.58
108-118,0,2.01,0,5.71,0,0,0,3.91,0,0,0,0,0.7,4.69,0,10.85,0,0,1.21,0,0.41,0,0,0,0,0.55
120,0,1.41,0,0,0,0,0,8.68,0,0,0,0,1.47,6.2,0,18.97,0,14.66,0,0,0,0,0,0,0,1.7
