stage,eye,fin.mesenchyme,glial,gut,iridophores,mesenchyme,neural,periderm,spinal.cord
 14-21,0,0,0,0.81,0,0,2.56,0,0
 24-34,0.72,0,0,0,0,0,5.16,0,0
 36-46,0.96,0,0.93,0.83,0,0,7.87,0,0
 48-58,0.58,0,0.69,0,0,0,11.65,0,2.1
 60-70,0,1.38,1.46,0,0,0,11.96,0,1.06
 72-82,3.15,0,0,0,0,0.7,3.47,0,0
 84-94,0,0,0,0,0,0,6.57,0,1.58
 96-106,5.94,0.81,0,0,0.71,0,14.06,0.8,0
108-118,0,0,0,1.2,0,0,15.43,0,0
120,2.11,0,0,0,0,10.31,22.21,0,0
