stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.65,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,21.74,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0.88,5.1,96.9,0,0,0,0,63.02,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,4.08,0,1.56,15.88,514.45,0,0,0,0,306.38,0,0,0,0
 36-46,33.83,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,3.94,0,8.38,23.17,1254.75,0,0,1.48,0,620.44,0,8.25,0,2.36
 48-58,1.54,0,0,3.57,0,0,7.77,0,0.85,1.2,1.12,0,0,0,0,0,41.13,0,23.29,31.64,1604.12,0.45,0,0,0.6,94.69,0,0,0,0
 60-70,1.45,0,0,0,0,0,24.28,0,0,0,0,0,0,0,0,0,101.74,0.78,14.06,39.47,1184.6,0,0,0,0,45.38,1.31,0,0,0
 72-82,0,1.32,0,0,5.13,0,89.69,1.33,0,11.02,0.73,0,1.11,3.09,0.95,0,305.2,0,123.28,78.8,864.99,1.04,0,0,0,82.99,0,0,0,8.71
 84-94,4.31,0,0,2.52,0,0,25.21,0,0,3.91,8.21,1.64,0,0,0,0,132.54,0,61.04,16.62,1445.45,0,0,1.08,0,113.86,0,0,1.2,0
 96-106,0,0,0,10.15,5.14,0,69.63,1.31,4.28,0,1.46,1.19,0,0,2.06,0,522.77,0,237.58,104.25,1035.58,7.13,0,4.33,0,0,2.96,3.17,0,26.64
108-118,3.81,0,0.74,20.29,1.27,1.83,142.73,0,0.68,5.29,41.8,1.31,0,0.5,0,6.77,293.74,0,241.85,40.97,1178.48,3.76,0,1.56,0,7.83,21.31,0,0,44.96
120,20.68,0,0,9,0,0,97.71,0,3.6,19.93,17.21,0,0,0,0,20.41,721.1,0,143.39,71.59,1256.13,0,0,0,0,16.18,34.37,3.35,9.97,38.37
