stage,eye,glial,immune,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,5.97,0,3.39,0,0,0
 14-21,0,0,0,1.08,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.25,0,0,0,1.29,0,0
 36-46,0,0,0,0,0,3.2,0,0,0,0,0
 48-58,0,0,0,0,0.6,0.65,0,0,1.36,0,0
 60-70,0.88,0,0,0,0,1.41,0,0,0.68,0,0.7
 72-82,0,0,0,0,0,1.47,0,0,0,0,0
 84-94,0,0,0,0,0,0.64,0,0,0,0,0
 96-106,0,0,0.74,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,3.58,0
120,5.62,16.72,0,0,0,0,10.48,0,0,0,0
