stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.22,6.79,9.52,0,0,0,0,6.64,0,0,58.43,0,0,33.55,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,26.66,0,0,4.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,12.12,0,0,1.27,1.27,0,0.94,3.68,0,0,0,0
 24-34,0,0,0,0.67,0,0,0,0,0,1.48,48.08,0,0,0,0,0,0,8.01,0,0,0,0
 36-46,0,0,0,0,4.94,0.65,0,0,4.22,0,67.62,0,0.7,0,0,0,0,11.01,0,0,0,0
 48-58,0,0,0,0,12.19,0.46,0,0,5.1,0,128.31,0,0,0,0,0,0,16.41,0,0,0,1.38
 60-70,0,0,0,0.66,11.2,2.17,0,0,1.72,0,180.8,0,2.01,0,0,0,0,19.33,0,0,0,0
 72-82,0,0,0,1.38,18.73,4.77,0,0,0.91,0,156.45,0.97,8.86,0,0,0,0,4.74,0,5.85,0,4.01
 84-94,0,0,0,0,17.32,0,0,0,5.07,0.67,106.31,0,0.86,0,0,0,0,2.33,0,0,0,0
 96-106,0,0,0,1,9.94,3.55,0,0,1.39,0,101.67,0,7.35,0,0,7.48,0,0,0,0,0,0
108-118,0,0,0,0.9,12.32,4.16,0.43,0,5.24,0,127.58,0,1.63,0,0,0,0,11.26,0,0,0.68,0
120,0,0,0,0,17.77,26.63,0,0,6.99,0,230.88,0,20.32,0,0,0,0,18.98,6.92,0,5.89,0
