stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83,0.85,0,0,0,0,0,0,0,0,0,1.01
 24-34,0,0,0,0.67,2.81,0,0.83,0,0,0,0,0,0,0,0,0,15.83,1.83,0,0,0,3.73,2.79,0,0,0,0,0
 36-46,0,0,0,1.04,11.79,0,0,0,0,0,0,0.61,6.83,0,0,1.42,24.72,1.35,0,0,2.06,1.81,8.23,0,0,0,0,6.5
 48-58,0,0,0,0,25.17,0,0,1.96,0,0,0,1.43,12.7,0,0.69,1.58,43.7,2.51,0.42,0,0,0.6,6.57,0,0.91,0,0,1.77
 60-70,0,0,0,0.75,100.91,0,0.84,3.3,1.28,0,0,0,30.41,0,2.29,0.88,96.1,1.24,1.69,0,0,10.41,23.81,0,0,0,0,16.1
 72-82,0,0,0,1.52,251.76,0,0,11.88,1.62,1.38,0.54,5.36,38.56,0,1.14,0.95,176.92,1.8,1.53,2.01,0,11.02,37.13,0,0.93,0,1.51,0
 84-94,0,2.22,0,13.14,182.32,0,0,23.39,4.88,0,0,2.41,32.48,0.62,0,1.51,157.56,7.73,0.55,0,0,35.3,28.8,0,1.91,0,0,3.53
 96-106,0,0,0,9.95,227.98,0.69,0,60.87,2.29,0,0,1.01,33.96,0.7,1.06,0,190.3,4.15,2.5,1.05,0.58,22.69,14,1.66,0,0,0,0
108-118,0,0,0,22.15,322.51,0,1.55,31.46,10.92,0,0,21.77,36.73,0.59,3.44,1.78,119.92,4.99,4.91,0,0,34.26,9.62,0,0,1.98,0,1.25
120,0,0,1.28,77.52,375.56,0,0,65.83,4.43,0,0,3.72,44.23,0,5.31,0,225.14,5.07,12.33,0,14.71,22.11,8.06,0,0,2.09,0,0
