stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,63.67,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,213.94,0,0,0,0,0,0,0,0,21.03,0,9.67,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,117.76,0,10.88,0,0
 10-12,0,6.02,0,0,3.36,0,0,0,0,50.36,0,3.33,0,0
 14-21,0,0,1.22,0,0.81,0,0,1.92,0,19.66,0,0,0,1.95
 24-34,0,0,0,0,2.56,0,0,0,0,7.05,0,0,0,0
 36-46,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.38,0,0,0.55,0,0,0.9,0,0,0
 60-70,0,0,0,0,0.69,0,0,1.5,0,1.47,0,0,0,0
 72-82,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.87,0,0,0,0.89,0,0,0,0.97,0
 96-106,0,0,0.81,0,0,0,0,1.19,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.61,0.71,0,4.48,0,0,1.47,0
120,0,0,0,0,20.48,2.39,0,0,0,12.29,0,0,1.78,0
