stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0
  5-6,25.14,498.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.58,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,13.77,7.23,0,0,0,20.1,0,0,0,0,30.91,0,0,0,0,0,0,0,0,268.35,4.84,0,0,100.92,0,0,0,0,0,0,0,0,0
 10-12,0,40.4,27.91,0,0,0,20.77,0,0,0,0,5.49,0,0,0,0,0,0,0,0,317.94,0,0,0,166.19,0,0,14.32,0,0,0,0,0,0
 14-21,0,0,0,1.13,3.12,0,2.6,0,0,0,0,0,0,0,0,0,6.7,0,0,1.82,46.8,0,0,0,3.71,1.04,5.71,0,5.23,16.46,0,0,0,0
 24-34,0,0,0,0.6,0.69,0,19.16,0,0,1.66,2.53,0,0,0,0,2.06,3.73,0,0,1.82,139.43,0,0,0,0,1.99,0,1.77,2.04,32.48,0,0,0,0
 36-46,0,0,0,0,0,0,36.25,0,0,2.1,0,0,0,0,0.57,0,6.34,0,0,2.93,156.95,0,1.14,0.57,0,2.27,0,0,0,29.76,0,0,0.58,1.43
 48-58,0,0,0,2.4,0,0,54.49,0.45,2.87,4.88,0,0,0,0,0,0,12.75,0,0.41,1.69,153.51,0,0,0,0,0,0,0,0,14.03,0,0,0,0
 60-70,0,0,0,3.21,1.4,0,76.92,0,0,1.56,0,0,0,0,0,0,20.38,0,0,1.43,103.76,0,1.4,1.46,0,4.63,0,0,0,8.19,0,0,1.59,5.43
 72-82,0,0,0,0.51,35.09,0,48.92,0,0,8.19,0,0,0,0,0,0,11.58,0,0.68,2.64,88.76,0,0,1.86,0,2.53,0,0,0,1.68,0,1.49,1.7,0
 84-94,0,0,0,0.66,18.76,1.52,28.99,2.31,0,4.09,0,0,0.61,0.82,0,0,22.71,0,0,0.68,64.63,0,0.7,0,0,0,0,0,0,6.46,0,0,0,0
 96-106,0,0,0,0,10.44,1.41,26.66,0,0,8.65,0,0,0.59,0,0,0,8.98,0,0,0,66.19,0,0.71,0.65,0,4.89,0,0,0,0,0,0,0.92,0
108-118,0,0,0,1.01,5.15,0.49,26.14,0,0.6,3.54,0.53,0,0,0,3.03,0,14.83,4.51,2.74,0,63.41,0,0,0.89,0,0,0,0,0,4.3,0,0,0,0
120,0,0,0,1.96,14.1,0,10.61,0,0,10.71,0,0,0,0,3.64,0,16.45,0,0,2.72,89.91,0,0,0,0,0,0,0,0,0,1.84,0,0,0
