stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,162.98,3444.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.13,0,0,0,0,0,0,0,0,0,0,0
  5-6,308.18,4780.93,0,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.1,31.78,0,0,95.76,78.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,243.09,176.56,0,321.49,0,0,0,660.57,0,0,0,0,294.97,0,0,0,0,0,0,0,0,0,0,0,6316.51,177.82,0,0,2726.88,17.97,67.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,269.07,0,395.68,0,29.36,0,513.39,0,0,0,0,105.5,0,0,0,0,0,0,0,0,0,0,0,5700.89,110.77,0,0,2415.79,27.04,54.92,23.3,335.06,0,12.96,13.08,0,0,0,0,0
 14-21,0.89,0,0,23.34,250.26,41.69,0,152.96,0,0,37.76,6.4,0.86,2.14,2.77,4.45,1.48,1.25,1.15,1.08,144.86,0,0,140.01,1844.91,53.47,15.67,14.96,60.5,82.75,1.16,298.81,12.81,0,157.16,558.35,0,0,8.37,0,0
 24-34,4.02,0,0,4.69,97.5,18.14,0,321.48,1.84,0,63.09,4.58,2.27,3.32,9.57,12.15,3.06,4.15,5.65,0,336.88,1.8,0.89,121.35,3008.4,40.01,31.96,29.69,0,152.87,0,0,8,0,20.02,750.31,0,0,54.88,0,7.08
 36-46,0,0,0,0,52.84,1.49,0,736.44,0.74,0,39.66,2.26,0,1.42,7.36,0.68,4.05,1.08,1.74,0,303.56,1.46,9.91,72.48,2136.14,21.35,14.71,6.79,0,59.88,0,0,6.42,0,0,502.34,0,0,27.26,0.78,16.47
 48-58,0,0,0,0,69.03,5.19,0,960.89,6.61,0.85,88.85,5.12,0,6.07,15.35,0,12.53,2.74,4.35,1.72,292.84,1.63,14.77,63.11,1192.45,7.67,5.57,9.83,0,33.29,0,0,1.84,0,0,180.7,0,0,27.14,0,7.65
 60-70,0,0,0.62,0,57.82,3.55,0,634.05,20.64,0,76.44,7.35,0,0,4.87,0,17.67,2.76,2.56,6.22,244.48,0,11.79,28.88,585.5,2.03,2.28,8.11,0,15.93,0,0,1.06,0,0,33.96,0,0,11.91,0,0
 72-82,0,0,0.69,0,33.9,2.93,0,196.17,0,0,75.61,11.7,0,1.66,9.76,2.38,4.13,0,8.52,0,201.95,0.56,5.15,27.06,278.8,0,2.32,5,0,4.14,0,0,1.93,0,0,10.15,1.44,0,17.67,0.73,0
 84-94,0,0,1.76,2.47,33.63,1.97,0,197.44,0,1.01,41.48,18.87,0,7.28,7.22,1.76,6.56,1.57,10.93,0,173.2,0,13.84,18.04,246.15,7.88,5.27,10.37,0,8.43,0,0,7.08,0,0,14.08,2.8,0.84,33.93,4.58,0.7
 96-106,0,0,0,0,28.22,11.24,1.48,142.88,4.73,0,62.48,19.73,0,4.32,9.98,1.47,2.56,1.88,4.51,0.79,70.69,0.71,11.72,19.26,222.4,2.32,2.28,6.78,0,17.9,0,0,0.69,0,0,0.84,1.88,0,19.73,0,1.51
108-118,0,0,0,0.74,22.22,11.91,1.94,146.25,2.25,1.19,57.4,11.65,0,0,15.05,1.01,9.22,1,7.01,2.16,74.01,0,15.36,13.36,348.15,2.28,1.89,8.55,0,6.4,0,0,5.01,0.43,0,2.97,1.6,0,18.31,0,0
120,0,0,0,0,22.36,18.8,0,149.18,0,10.32,71.42,8.3,0,0,8.66,1.4,0,0,5.51,0,88.84,0,0,10.72,268.07,2.06,0,9.31,0,10.73,0,0,1.55,0,0,8.21,0,0,16.63,0,0
