stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.14,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,17.16,0,0,0,0,0,0,1.06,0,3,8,0,0,0,0,0
 24-34,0,1.26,2.47,1.28,0,0,5.98,0,0,0,0,0,2.56,0,0,0,0,40.05,39.5,0,0,4.93,186.77,0,16.15,0,0,0,0.63,5.06,0,5.64,40.71,0,0,20.73,0,0
 36-46,0,0,0,0.94,0,0,17.46,0,4.2,12.32,2.13,0,1.51,0,0,0,0,21.67,92.97,0,0,20.57,526.05,0,15.4,1.46,0,3.38,0,0.63,0,0,55.6,0,0,41.36,0,0
 48-58,0,2.16,0,7.29,0,0,123.44,0.48,1.78,38.53,6.95,0,8.09,0,0,0,0,39.61,191.13,0,0.44,15.19,1065.86,0,6.75,1.48,0,1.82,8.63,1.06,2.94,0,142.96,0,2.65,35.5,1.15,10.63
 60-70,0,0.89,0,3.27,2.57,2.15,460.35,0,0,11.56,40.63,0,0.78,5.12,0.67,0,0,12.21,364.7,0.73,33.97,13.54,1562.9,0,6.9,2.82,0,10.79,9.8,1.81,0,0,300.7,0,5.19,12.1,0,4.21
 72-82,0,3.35,0,8.75,5.74,0,655.1,3.06,2.77,18.87,65.85,0.65,0.75,3.87,0,0,0.69,49.08,544.07,1.05,47.54,9.85,1543.78,0,6.4,1.98,0,26.59,5.35,6.06,0,0,180.06,4.21,33.33,35.13,33.52,0
 84-94,0,6.6,0,3.46,0,0,480.37,1.93,0,19.84,72.57,0,0,2.38,0.8,1.63,1.03,139.08,426.53,1.21,37.68,11.91,1160.31,0,0.8,7.96,0,19.35,14.35,2.82,0.97,0,138.45,0,23.66,37.37,38.99,0
 96-106,0,9.81,0,9.89,3.97,0,552.4,4.69,0,16.19,86.38,1.37,2.69,2.88,5.48,0.6,0.67,319.44,504.84,2.69,71.36,10.91,1018.92,0,14.06,9.23,0,50.28,33.58,3.02,0,0,118.94,1.68,45.88,50.37,41.14,11.11
108-118,0,2.61,0,9.09,6.38,0.6,582.09,0.54,0.42,8.07,95.34,2.89,3.26,6.68,4.01,6.05,1.4,534.75,518.2,3.2,61.98,6.17,1295.58,0.85,11.63,7.85,0,65.32,4.95,2.76,0.69,0,69.69,6.37,27.9,49.93,31.67,10.4
120,0,2.52,0,41.55,0,5.29,742.85,0,27.76,7,50.29,1.32,6.61,0,1.65,0,1.69,246.22,379.68,0,164.21,26.06,2063.45,0,18.9,7.93,10.96,58.07,0,3.48,0,0,74.38,0,64.77,20.37,48.12,0
