stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,206.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.37,301.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.64,14.99,0,27.73,0,0,0,95.71,0,0,0,0,0,8.91,0,0,0,0,0,0,0,0,0,0,0,448.2,59.47,0,0,155.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.17,0,35.97,0,10.78,0,64.47,0,0,0,0,0,33.01,0,0,0,0,0,3.73,0,0,0,0,0,551.81,30.17,0,0,313.97,0,0,0,17.04,0,5.41,0,0,0,0,0
 14-21,0,0,0,3.71,14.71,5.03,0,17.73,0,0,0,2.88,0,1.58,0,0,0,0,0,2.77,0,6.83,0,0,9.56,197.3,3.41,0,0.85,3.57,0,0,22.39,0.83,11.15,49.09,47.2,0,0,0,0
 24-34,0,0,0.67,0.62,3.52,0,0,21.15,0.91,0,2.2,3.7,0.61,0,0,2.22,1.32,0,0,0,1.19,17.72,0.86,0,13.68,232.33,0.68,0,1.42,0,0,2.56,0,1.72,0,20.85,36.93,0,0.77,0,5.82
 36-46,0,0,0,0,9.53,0,0,18.3,10.78,3.26,0,18.91,0,0,0.79,1.14,0.87,0.59,0,3.8,0,18.92,0,1.32,9.51,216.39,1.43,1.68,2.14,0,0,0.75,0,1.96,10.42,1.43,53.96,0,0,0,5.38
 48-58,0,0,0,0,5.93,0,0,93.21,5.14,0,2.24,37.58,0,0,0,0,9.62,0.98,0,3.38,0,21.91,0,0,9.46,202.94,6.6,0,0,0,0,0,0,3.1,7.12,0,67.2,0,7.94,0,14.17
 60-70,0,0,0,0,1.74,0,0,101.1,2.3,1.14,0.76,47.12,1.84,0,0,0,0,0,0,7.95,0,33.93,1.14,0,6.24,163.15,4.6,0,5.19,0,0,2.2,0,4.67,3.37,0,24.61,0,2.67,0,7.73
 72-82,0,0,0,0,6.48,4.23,1.82,141.5,3.4,0,6.2,52,0,0,0.5,0,1.43,0.66,0.68,9.5,0,41.23,0.6,0,8.45,240.11,0.52,1.59,1.51,0,0.71,1.97,0,1.07,0,0,25.44,4.21,0,0.54,6.75
 84-94,0,0,0,0,4.58,1.72,3.04,145.01,1.86,0,1.66,28.3,1.63,0,0,1.28,1.9,0,0,11.97,0,31.88,0.57,1.8,8.03,154.17,0,0.71,4.82,0,0,5.09,0,5.25,7.97,0,1.54,0,3.35,1.2,3.53
 96-106,0,0,0,0,5.16,6.34,4.28,163.62,9.94,7.2,8.95,73.65,4.39,0,0,4.66,4.38,0,3.11,37.36,2.92,52.95,0,0,14.55,210.66,0.62,2.32,2.98,0,2.6,12.07,0,6.47,21.25,0,14.44,4.75,8.35,0.72,13.86
108-118,0,0,0.75,0,30.34,0.94,12,172.45,25.31,2.45,1.53,71.88,2.98,0,0.69,2.5,11.46,2.89,1.94,94.68,1.72,70.66,2.89,0.75,16.54,173.14,0,2.9,6.81,0,2.78,7.82,0,10.99,31.2,0,8.58,0,5.67,5.36,10.31
120,0,0,0,0,28.46,0,5.94,154.16,23.13,1.03,0,129.6,9.05,0,0,7.06,5.52,0,0,49.71,0,113.47,0,7.16,22.93,208.91,21.37,0,4.12,0,0,6.34,0,7.56,20.93,0,0,0,0,2.64,6.17
