stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.18,4.89,104.11,16.87,0,33.5,0,0,0,16.05,3.67,5.43,4.01,0,6.79,0,1.14,0,1.33,35.62,0.82,0,29.09,371.69,2.74,5.05,2.82,5.25,0,10.11,0.9,27.19,5.89,7.54,63.24,160.23,0,0,10.43,0,2.62
 24-34,1.51,0,20.18,0.87,0,31.46,0,0.65,0.79,6.32,0.77,0,0,3.59,1.23,0,4.12,0,2.7,20.59,0,0,9.28,471.48,2.26,10.05,6.61,0,0,21.26,0,0,0,0,6.59,128.79,0,0,38.66,0,0
 36-46,0,0,15.42,4.4,0,79.68,0,2.53,0.61,22.65,2,0,0,1.36,4.4,0,0,0,2.45,26.08,0,1.76,3.61,610.11,0.97,4.38,3.86,0,0,27.82,0.81,1.39,1.42,0,0,126.46,0,0,32.45,0,0
 48-58,0.42,0,10.42,4.34,0,93.89,0,1.21,1.43,30.37,3.05,0.48,2.23,12.29,0,5.02,0,0,5.5,30.46,0.95,0,5.52,527.47,0.77,5.01,3.4,0,0,31.53,0,0,3.6,0,0,103.25,0,0,12.68,0,11.45
 60-70,1.1,0,20.38,0,0,291.13,2.93,2.17,10.96,70.74,7.1,0,1.65,18.63,0,9.63,1.13,0,0,47.65,1.46,0.59,6.27,565.62,2.09,0,9.78,0,2.16,42.97,0,0,5.27,0.62,0,84.34,0,2.34,6.89,0.87,11.7
 72-82,2.3,0,5.88,2.46,0,196.66,0,1.51,1.82,51.23,8.06,0,1.39,16.44,2.22,0,2.08,0.62,0,63.1,1.29,4.45,3.3,448.42,0,3.67,8.56,0,0,47.22,0,0,17.82,0,0,35.83,0,0.68,34.25,0,0
 84-94,2.2,0,17.32,0,1.52,195.33,0,6.18,2.53,39.6,6.13,0,0,24.02,4.98,0.69,2.03,0,0,46.22,0,5.26,0,267.73,0,6.78,3.82,0,0,143.28,0,0,33.12,0,0,17.88,0.81,1.7,23.76,1.73,1.51
 96-106,1.05,0,23.53,12.02,2.04,149.54,0,8.19,0.82,33.18,14.62,0,3.54,24.51,10.79,1.34,3.34,7.22,0,29.67,1.45,3.72,0.67,266.01,0,11.93,6.8,0,4.1,121.21,0,0,40.37,0,0,8.69,0,0,14.96,7.51,0
108-118,0.57,0,23.01,0.46,14.29,161.78,0,6.68,4.67,35.26,13.96,0,1.05,38.19,3.51,0,2.12,0.68,0,45.05,2.33,4.13,1.46,289.7,1.65,4.51,9.41,0,4.55,49.64,0,0,56.76,0,0,6.6,0.89,3.74,21.46,0.62,0.95
120,0,0,6.29,0,3.48,201.69,0,7.64,2.1,56.71,9.99,0,2.11,30.23,10.71,0,2.98,3.84,0,31.15,1.47,12.29,6.3,332.73,0,0,5.72,0,0,78.15,0,0,23.22,0,0,26.52,0,0,7.08,0,0
