stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0,0,0
  7-9,4.1,0,4.53,0,0,0,4.21,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,56.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.2,0,0,0,35.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.68,3.14,0,1.12,0,0,0,0,0,0,0,0,0.81,0,0,123.71,0,2.71,0,0,0.99,674.08,0,22.56,0,0,0,0,1.58,0,0,0.85,134.37,0,0,0,0,0
 24-34,0,2.42,0,10.13,0.96,0,19.16,0,0,0,1.54,0.66,0,0,1.97,0.62,0,0.63,85.22,0,15.58,0.87,0,4.14,3160.8,0,215.11,0,0,0,1.49,0,0,0,3.15,625.65,0,0,9.02,0,0
 36-46,0,0.94,0,9.57,0.69,0,184.8,0,0,0,16.66,0,0,2.76,0,3.53,4.26,0.61,11.5,1.45,8.13,0.68,0,9.12,8791.85,3.3,226.7,0.65,0,0,6.99,0,0,6.5,0.66,1226.04,0,0,32.28,0,2.23
 48-58,0,0.59,0,25.74,3.28,0,1049.75,0.81,3.21,2.62,144.5,0,0,2.05,1.73,0.76,6.69,0.44,8.7,13.69,90.87,0,8.22,15.56,14763.34,10.64,175.1,0.98,0,0.39,10.38,0,6.52,1.18,0,1388.42,0,0,29.18,0,13.88
 60-70,0,0.62,0,53.74,7.39,0,1938.6,12.76,8.05,7.42,193.66,1.98,0,0,13.84,17.06,31.41,6.17,22.51,0.71,159.36,0,6.74,14.01,19715.26,7.37,136.45,10.03,0,0,14.02,0,0,0,0,1495.3,0,11.76,18.92,0,17.47
 72-82,0,1.61,0,64.29,34.24,0,2060.73,8.81,8.97,2.37,298.5,4.39,0.52,1.87,20.49,0,0.93,0.66,6.91,13.87,199.58,1.08,2.63,16.96,16172.72,1.8,178.71,21.72,0,4.37,26.01,0,1.69,0,0,983.79,0.95,2.59,48.65,9.52,31.32
 84-94,0,5.72,0,87.28,10.2,0,1742.85,6.36,4.48,0.77,294.89,2.91,0,1.02,24.21,0,4.1,0.69,12.14,0.98,137.24,0,11.42,5.35,11478.14,0,145.66,11.39,0,3.75,43.47,0,1.9,2.01,0,708.84,5.34,13.32,41.01,5.87,13.57
 96-106,0,0,0,78.3,55.75,0.6,1030.79,0,0.68,11.99,372.59,9.23,0,0.75,15.81,0.69,0.75,6.03,37.23,0,135.79,2.09,14.61,19.42,8290.71,0,186.73,5.47,0,8.98,37.88,0,4.73,0,0,336.09,0,5.01,47.52,0.61,26.13
108-118,0,1.47,0,65.45,17.08,1.73,1058.53,1.28,1.37,2.16,369.38,5.51,0,2.49,21.4,3.19,0.97,1.1,11.71,2.16,101.82,4.91,4.41,4.48,11064.18,0,146.6,6.72,0,0,10.57,0,13.27,0,0,294,1.77,8.58,64.93,3.58,2.34
120,0,0,1.28,116.86,24.38,0,1267.3,0,3.91,6.71,706.45,2.52,0,0,36.59,1.65,2.93,0,8.58,1.61,158.53,0,17.26,17.34,18037.09,0,153.54,10.11,0,0,7.11,0,5.81,0,0,629.75,12.35,5.29,43.78,0,0
