stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0
  5-6,0,24.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.9,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.57,1.96,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,43.84,0,0,63.11,33.76,15.92,0,0,0,0,1.13,0,0,0,0,0,0,0,0
 24-34,0,0,1.18,0.66,2.35,0,0,1.83,4.27,0,0,0,0,0,0,0.85,0,0,4.7,378.65,0,0,166.89,38.34,147.47,0,0,0,0,0,0,0,0.66,4.62,0,0,0,4.16
 36-46,0,0,0,0,0,3.46,6.87,0,26.81,0,0,0,2.87,0,0,0,0,1.17,0.63,681.26,0,25.88,205.36,65.05,184.37,2.72,0,7.92,7.54,0,0,0.74,0,4.72,1.85,8.88,0,48.33
 48-58,1.92,0,0,8.87,0,30.39,1.26,8.44,32.21,31.45,0,0,0.48,0.72,0,0,0,1.43,8.17,1177.68,0.5,54.72,138.88,128.35,117.69,0.54,0,5.21,0.5,0,0,0.58,0,9.02,5.99,0,0,70.25
 60-70,0,0,0,7.53,0,17.98,8.61,20.86,32.39,72.37,0,0,1.53,0,5.42,0,0,2.74,5.55,1915.23,0,67.91,93.76,120.7,67.87,3.41,0,7.31,2.07,0,0,0.62,0,5.13,25.74,0,6.08,36.55
 72-82,0,0,0,4.06,3.6,100.88,14.69,0.55,54.09,113.97,0,0,0,3.55,0,0.59,0,1.61,6.67,2256.99,0,29.62,97.87,105.92,47.72,4.07,0,13.26,1.1,0,0,0,0,0.77,37.07,4.65,27.04,43.53
 84-94,0,0,0,7,0.69,73.93,13.88,0,34.6,28.11,0.94,0,0,2.11,1.85,0.76,0,0.57,1.99,1928.54,0,38.27,50.84,77.64,71.2,16.67,0,8.63,1.71,0,1.38,0,0,0,27.41,3.78,41.3,31.05
 96-106,0,0,0,8.08,1.17,52.07,17.66,0.69,20.98,30.53,3.47,0,0,2.57,0,0,0,0,2.07,1365.94,0,21.74,29.02,92.97,37.17,8.46,0,20.62,6.36,0,0.68,0,0,3.75,27.08,0,38.06,10.69
108-118,0,0,0,1.79,0,22.1,18.24,0.61,22.97,26.67,0.45,0,0,2.84,1.44,3.26,1.65,2.03,6.66,1188.32,0,8.9,50.21,60.86,39.83,1.04,0,11.48,0.9,0,0,0,0,7.94,20.4,1.51,27.27,24.35
120,0,0,0,5.84,2.93,30.38,2.94,1.14,33.27,67.97,0,0,0,0,0,0,0,3.84,0,1090.79,0,23.49,33.36,139.96,73.89,8.38,0,40.17,1.39,0,0,0,0,0,39.21,0,64.91,14.99
