stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,20.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.14,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.46,8.31,0,0,12.28,0,0,0,43.01,0,0,0,0,0,0,0,0
 14-21,0,0,2.33,0,19.09,9.05,11.31,0,0,0,8.56,7.31,2.24,2.26,0,4.04,0,0,0,4.54,22.9,0,0,94.18,542.24,22.13,0,0,3.96,0,0,37.03,6.18,158.13,139.64,255.24,0,0,0,0,36.74
 24-34,0,0,5.05,5.87,19.54,0.87,92.8,0,0,1.41,23.32,8.92,0,11.18,0,13.69,3.62,0,32.55,5.13,160.99,0.67,2.43,475.62,1308.78,150.42,16.88,3.56,0,0,1.24,0.71,4.17,83.6,94.31,385.6,0,0,0,0,121.15
 36-46,25.37,0,2.06,2.91,10.5,0,93.07,2.94,5.9,10.97,41.87,1.35,0,19.62,3.24,3.34,0,0,58.93,12.51,353.6,0,0.6,156.54,582.85,129.06,2.37,0,0,0,3.6,0,12.75,60.6,0,265.98,0,0,0.88,0,129.67
 48-58,2.88,0,0,0,2.38,0.48,50.86,1.44,3.06,4.25,88.43,1.89,0,0.64,0,0,0.73,0,65.16,9.71,190.55,0,0,45.13,355.92,52.98,4.46,0,0,0,3.35,0,0.61,38.79,0,87.79,0,1.02,0.39,0,119.82
 60-70,0,0,0,0,2.63,0,76.39,1.94,0.79,0,120.76,0,0,0,0,5.1,2.1,0,67.31,4.66,103.77,0,3.71,20.8,441.16,3.32,1.91,0,0,2.07,4.22,0,1.82,29.07,0,40.26,0,1.88,0,0,152.53
 72-82,0,0,0,0,2.11,0,109.68,0.72,0,2.28,230.27,0,0,0.68,0,0,10.15,0,106.12,1.47,87.34,0,7.36,12.55,585.14,1.01,2.54,3.43,0,18.49,1.65,0,0,12.58,0,38.46,0.62,9.98,0.5,5.68,218.97
 84-94,5.55,0,1.68,0,2.79,0,105.56,2.32,0.62,1.3,212.16,0,0,0,0,0,5.97,0,222.76,5.88,107.6,0.93,3.98,26.2,410.56,1.43,2.92,6.41,0,13.56,8.94,0,0,7.44,0,46.79,0,6.91,0,4.7,175.97
 96-106,0,0,1.22,0,5.54,8.45,100.19,3.91,0.58,0,403.43,5.34,0,3.91,5.85,0,4.52,1.32,314,9.99,72.74,0,4.25,7.04,408.95,0,4.34,2.31,1.2,15.15,3.81,0,0,6.4,0,49.8,0.66,17.09,1.67,0,214.84
108-118,0,0,0.71,0,8.32,0.72,162.51,1.41,0,0.74,351,0.86,0,0,1.66,1.11,5.07,1.35,253.65,13.2,64.47,0,9.74,17.64,696.02,1.66,1.77,14.16,0,31.36,3.55,0,0,3.44,0,46.5,1.39,4.8,0.87,4.82,283.77
120,0,0,2.94,0,11.04,12.26,115.16,0,0,0,363.64,10.78,0,0,0,0,0,0,117,1.51,50.01,0,0,22.55,869.5,7.5,1.62,4.84,0,72.9,0,0,0,5.65,0,21.34,0,0,2,0,115.61
