stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,22.1,177.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0,0
  5-6,0,72.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,28.04,3.22,0,0,18.03,0,0,12.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.77,18.01,0,0,134.12,0,0,0,4.19,21.63,0,0,0,0,0,0,0
 14-21,0,0,0,2.32,0.87,0.86,0,0,0,47.15,1.14,0,0,0,0,0,11.08,78.89,0,0,0,0,0,0,1.12,10.2,0,0,80.58,233.16,0,0,0,0
 24-34,0,0,0.6,1,0,4.82,0,0,0,109.55,0,8.91,1.95,0,25.3,0,13.98,287.32,0,0,1.37,0,0,2.39,0,0,0,0,19.73,391.15,0,0,1.65,0
 36-46,0,0,0,0.66,0,4.05,2.41,2.46,1.51,63.23,0,7.02,0,1.29,19.5,0.89,11.44,275.08,0,0,0,0,0,0,0,0,0,0,0,352.62,0,1.23,0,0
 48-58,0,0,0,0,0,8.02,1.02,0,5.16,74.49,0,0.39,0,0,24.76,0,11.63,110.77,0,0,0,0,0,0,0,0,0,0,0,206.73,0,0,3.23,0
 60-70,0,0,0,0,0,12.64,7.62,0.86,31.6,53.45,0,12.03,0.71,0.61,14.57,0,13.62,62.87,0,0.96,0.77,0,0,0,0,0,0,0,0,60.97,0,0,0,2.02
 72-82,0,0,0,1.53,3.7,16.07,0,0,22.45,98.46,0,8.22,0,6.48,22.81,0.67,5.49,26.37,0,0,4.25,0,3.2,0,0,0,0,0.71,0,24.71,0,0,4.71,5.07
 84-94,0,0,0,0,0,11.21,4.38,0,22.77,75.55,0,9.78,0,0.89,18.46,3.84,8.12,17.52,0,1.81,0,0,2.98,0,0,0,0,0,0,11.76,0,1.47,7.73,9.12
 96-106,0,0,0,1.1,0,26.64,0.71,0,9.19,55.65,0,25.34,0,0,20.44,0,12.57,2.5,0,0,0.65,0,1.03,0,0,0,0.6,0.63,0,20.36,0,0,12.37,0
108-118,0,0,0,2.41,0,10.93,1.14,0,11.29,108.73,1.6,21.76,0,0,7.54,0,8.47,12.67,0,0,0,0,2.86,0.56,0,0,0.41,0,0,16.96,0.44,0,1.63,0.68
120,0,0,0,3.3,8.88,2.22,5.53,0,7.5,95.24,0,19.1,0,0,6.63,0,4.87,22.38,0,0,0,0,2.03,12.23,0,0,0,0,0,5.23,0,0,2.07,20.7
