stage,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,neural,periderm,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,3.44,0,0,0
 10-12,0,0,0,0,0,0,33.83,0,0,0
 14-21,0,0,0,0,0,0,1.17,0,0,0
 24-34,0.82,0,0,0,0,1.22,1.12,0,0,0
 36-46,0,0,0,0,0,0.61,5.87,0,0,0
 48-58,0,0,0,0,0,0,2.59,0.46,0.52,0
 60-70,0,0,11.14,0,0,0,3.41,0,6.39,0
 72-82,0,0,0.76,1.57,2.22,2.06,3.49,0,1,0.66
 84-94,0.66,7.73,0,0,0,1.38,5.24,1.08,0,0
 96-106,0,0,1.18,0,0,2.04,0,1.05,0,0
108-118,0,0,3.57,0,0,0,1.11,0,0,0
