stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,37.29,485.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.11,1055.44,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,77.89,0,0,0,0,0,0,0,0,0,0
  7-9,34.33,31.84,20.2,0,0,14.32,0,0,0,0,11.09,0,0,0,0,0,0,0,0,518.31,14.73,0,0,158.54,0,0,0,0,0,0
 10-12,0,5.93,0,0,13.12,27.19,0,0,0,0,0,0,0,0,0,0,0,0,0,165.41,0,0,0,43.46,0,0,11.28,0,0,0
 14-21,0,0,0.94,8.54,0.86,2.16,0,0,0,0,0,0,0,0,0,0,1.26,0,1.14,19.7,0,0,0,0,29.55,2.63,0,3.17,6.07,0
 24-34,0,0,0.73,2.24,0,2.05,0,0,0,0,0,0,1.44,0,0,0.68,3.67,0,0.67,18.43,0,0.6,0,0,7.46,0,0.61,0.68,3.71,0
 36-46,0,0,0,0.7,0,1.34,0,0.81,0,0,0,0,0,0.56,0,0,0,0,0.73,4.72,0,0,0,0,13.91,0,0,0,0,0
 48-58,0,0,0,2.6,0,3.41,0,0,0,0,0,0,0,0,0,0,1.43,0.4,1.87,5.54,0,0,0.43,0,11.88,0,0,0,0,0
 60-70,0,0,0,0,0,11.78,0,0,0.85,0,0,0,0,0,0,0,3.34,0,0,8.45,0,0,0,0,4.89,0,0,0,2.17,0
 72-82,0,0,0,1.86,0,1.95,0,0,0,0.6,0,3.31,0,1.24,1.9,0,1.37,0,1.03,3.08,0,0.93,0,0,11.71,0,0,0,0.93,0
 84-94,0,0,0,2.53,0,8.73,1.13,0,0,0,0,0,1.75,0,0,0,3.75,0,0,0,0,0,0,0,22.44,0,0,0,0,0
 96-106,0,0,0,0.6,0,3.36,0,0,2.71,0,0,0.86,0.62,2.1,0,0,2.21,0,0,6.27,0,0,0,0,17.07,0,0,0,3.11,0
108-118,0,0,0,5.5,0,2.17,1.78,0,0,0,0,0,0.96,0,0,0.42,5.47,0.69,0,4.55,0,0,1.04,0,37.17,0,0,0,0,0.92
120,0,0,0,0,0,0,1.12,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.54,0,1.97,0,0,0
