stage,axial,blastomeres,endoderm,eye,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,0,60.38,0,0,0,0,0,0,0,0,0,0
  5-6,6.85,74.62,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.96,0,0,0,0,0,33.05,0,3.2,0,0
 10-12,0,3.1,0,0,0,0,0,7.92,0,8.56,0,0
 14-21,0,0,0.84,0,0,0,0,1.87,0,0,0.93,0
 24-34,0,0,0,0,0,0,0,5.7,0,0,0.65,0.71
 36-46,0,0,0,0,0,0,0,1.31,0,0,0,3.64
 48-58,0,0,0,0,0,0.59,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.52,0,0,0,0
 72-82,0,0,0,1.41,0,0,0,7.52,0,0,0,0
 84-94,0,0,0,0,0,0,1.12,0,0,0,0,0
 96-106,0,0,0,0,7.11,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.43,0,0,0
120,0,0,0,0,0,0,0,6.09,0,0,0,0
