stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.46,611.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.42,0,0,0,0,0,0,0,0,0,0
  5-6,18.91,201.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.73,4.89,0,0,16.44,0,0,0,0,0,0,0,0,0,0,0,0,17.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.59,0,0,0,4.76,0,0,23.84,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,5.2,2.97,6.19,0,0,0,8.48,0,0,0,0,0,1.78,0,5.88,50.6,1,0.98,0,0.86,0,0,0,1.05,0.87,0,5.1,30.53,0,0,0,0
 24-34,0,0,0,6.47,0,27.51,0,0,0,0,0,0,0,0,0,6.31,0,2.05,160.25,0,3.6,1.31,0,0,0,0,0,0,0.61,1.35,42.28,0,0,1.3,0
 36-46,0,0,0,0,3.97,115.01,0,0,0.6,6.2,0,0,0,0,0,8.39,0,3.93,239.43,0,2.84,0.7,0,0,0,0,0,0,0,0,56.36,0,0,9.11,0
 48-58,0,0,0,1.91,3.34,525.03,0,2.05,0,10.7,0,0,0.44,0,0,13.54,0,0.88,204.16,0,0.78,0,0,0,0,0,0,0,0,0,50.05,0,0,0,0
 60-70,0,0,0,0,6.24,2159.65,0,0,0,8.72,0.63,0.65,0,0,4.62,14.14,1.48,1.6,202.17,0,3.69,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0
 72-82,0,0,0,3.64,17.42,1671.07,0,0,0,9.3,1.01,5.65,0.93,0,0,22.49,6.94,1.22,169.8,0,0,0.54,0,0,0,0,0,0.66,0,0,30.19,2.98,0,5.53,0
 84-94,0,0,1.04,5.71,25.79,1846.43,0.76,1.21,2.03,17.97,1.14,1.86,2.98,1.25,0,20.83,0,1.77,101.13,0,1.46,0,0,0,0,0,0,0,0,0,12.51,0,0,1.75,5.98
 96-106,0,0,0,15.43,46.94,1144.42,0,0,5.41,4.2,0,0,0,0,0,21.64,2.88,0,58.34,0,3.06,0,0,0.81,0,0,0,0,0,0,4.93,0,1.48,3.19,0.62
108-118,0,0,0,1.24,24.13,903.79,0,0.52,0.51,2.82,3.35,0.61,3.04,0,2.34,16.66,0,2.89,98.44,0,0.66,0,0,0,0.74,0,0,0.45,0,0,4.38,0.44,0,2.33,0
120,0,0,0,2.95,29.38,768.83,0,2.21,0,7.48,2.89,0,0,11.11,5.7,32.96,0,0,88.43,0,10.22,0,0,0,0,0,0,1.26,0,0,19.49,0,0,1.96,0
