stage,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.01,0,0,10.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,3.12,0,0,0,0,0,0.87,0,0,0,0,0,0,0
 24-34,0,0.76,0,0,1.19,0,1.23,0,0,0.71,0,1.93,0,0,11.82,16.44,0,0,0,0,0,0,12.77,0,0,0,0,0
 36-46,0,1.96,0,0,0,0,0,0,0,0,0,1.78,0,4.88,25.24,0.72,0,0,0,0,0,0,9.45,0,0,0,0,0
 48-58,0,6.9,0.37,0,0,0,0,0.47,0,0,0.39,2.61,0,0,12.27,0.56,0.38,0,0,0,0,0.4,9.46,0,0,0,0,0
 60-70,0,7.71,1.08,0,0,14.73,0,0,0,0,0,0.9,0,0,20.9,0,0,0,0,0,0,1.25,5.11,0,0,0,0,0
 72-82,0.96,3.12,0.6,0,0.6,10.4,0,0,0,4.08,0,5.25,0,0,21.26,0,0,0,0,0,0,0,1.82,0,0.96,0,0,0
 84-94,0,0.71,0,0,3.69,26.14,0,0,0,0,0,0,2.51,0.77,17.94,0,0,0,0,0,0,0.62,1.4,0,0,0,0,0
 96-106,1.62,19.03,0,0,7.41,97.4,0,0.59,0,0,0,5.61,0,0,72.93,0,0.64,0,2.93,3.28,0,1.64,2.13,0,0,7.7,0,0
108-118,0,5.35,0.42,0,2.62,229.89,0.51,0,0.87,5.97,0,20.02,6.85,4.17,75.82,1.93,0,0,0,7.92,0,0.89,1.58,1.08,0,0,1.4,2.29
120,0,17.89,0,2.43,2.39,267.15,0,1.31,0,0,0,0,2.4,4.76,147.57,0,0,0,0,0,0,1.22,0,6,0,0,0,2.85
