stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,21.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.42,67.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.62,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.68,18.28,0,0,19.34,0,6.2,0,0,0,0,0,0
 10-12,0,12.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,3.62,0,0,15.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.14,1.06,0,0,0,0,1.09,0,0,0,0,0,0,1.73,0,0,0,4.25,0,0,0,0,0,0,1.96,0,0,0,2.05,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,3.1,0,0,4.02,0,0,0,4.89,0.93,2.2,0,1.61,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,7.07,0,0,1.44,0,2.19,0,9.55,0,2.06,0,0.55,0
 48-58,0,0,0,0.42,0,0,0.71,0,0,0,0,0,0,0,0.37,0,1.03,0,1.25,0,9.47,0,0,0,0,2.25,0,0,0,1.65,0,0,0
 60-70,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,1.1,0,2.37,0,1.84,0,1.49,6.35,0,0.69
 72-82,0,0,1.04,11.05,0,0,1.59,0,0,1.45,1.47,0.52,0,0,0,0,5.67,0,0,0.94,16.49,0,0.73,0.99,0,1.87,0,2.57,0,0.7,70.24,0,0
 84-94,0,0,0,9,0,0,19.65,0,0,4.67,2.77,2.14,0,0,0,0,2.87,0,0,0.65,20.88,0,0,1.1,0,0,0,0,0,0.65,332.67,0.71,0
 96-106,0,0,1.43,7.91,4.14,0,13.75,0.64,0,6.73,3.78,1.23,0.87,0,0,0.99,0,0,0,0.78,15.76,0,0.81,1.23,0,0,0,0.57,0,0,435.61,0,0
108-118,0,0,0,2.64,0,2.04,17.56,0,0.45,12.15,2.34,1.83,0,1.46,0.44,1.12,7.66,1.07,0,0,19.64,0,0,0,0,1.07,0,3.34,0,0,515.35,0,0
120,0,0,0,16.17,8.42,0,0,0,0,25.95,5.58,2.47,0,2.22,3.78,0,0,0,0,0,24.31,0,3,0,0,1.26,0,1.75,0,0,174.38,0,0
