stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,47.41,452.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0
  5-6,26.02,267.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,13.4,0,0,35.26,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,291.17,8.92,0,0,117.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.53,0,15.24,0,0,54.4,0,0,0,0,9.46,0,0,0,0,0,0,0,0,0,0,0,339.44,5.97,0,0,120.87,0,0,13.06,5.74,6.57,0,0,0,0,0
 14-21,0,0,0,0,1.79,1.17,1.19,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0.93,12.44,0,0,0,0,0,1.05,0,0.82,7.27,0,0,0,0,0
 24-34,0,0,0.67,0,0.66,0,1.32,0,1.21,0.64,0,0,0,0,0.79,0,0,0,0,0.97,0,0,0,103.19,1.18,0,1.16,0,0,0,0,0.69,34.59,0,0,0.6,0,0
 36-46,0,0,0.73,0,0.66,0,9.98,0,0,2.1,0,0,0,0,0,0,0,0,0,3.14,0,0,1.25,296.98,0,8.66,0,0,0,0,0,0,67.6,0,0,1.04,0,0
 48-58,0,0,0,0,2.68,2.03,52.23,0,0.44,3.38,0,0,0,0.37,0,0,0,0,0,7.34,0,0,0,376.08,0,4.2,0,0,0,0,0,0,82.48,0,0,0.81,0,0
 60-70,0,0,0,0,5.34,0,125.2,0,0,14.05,0,0,0,9.07,0,0,0,0,0,12.56,2.4,0,0,694.84,0,6.1,2.18,0,1.49,0,0,0,110.59,0,1.56,4.19,0,0
 72-82,0,0,0.64,0,2.48,0,247.85,0,0,16.41,0,0,0,9.23,0,0,1.56,0,0,24.28,0,1.14,1.31,749.55,0,15.28,0,0,2.61,0,0,0,111.99,0,0,1.67,0,0
 84-94,0,0,0.56,0,6.25,0.73,220.97,0,0,19.4,1.52,0,0,5.49,0,0,0.69,0,0,4.16,0,0.72,0,589.89,0,9.97,1.18,0,2.38,0,0,0,119.4,0,0,3.69,2.18,0
 96-106,0,0,0,0,5.52,3.02,220.14,0,6,39.61,5.12,0,1.33,10.75,0,0,10.24,1.54,5.57,9.44,0,0,0,609.75,0,3.88,2,0,4.26,0,0,0,61.22,0.87,0,0,0,3.81
108-118,0,0,3.13,0.61,11.83,3.57,336.02,0.71,0,54.69,0.43,0,0,7.96,0,2.68,0,0,0,5.85,1.96,0,3.85,773.19,0,5.92,0,0,0,0,0,0,68.96,1.35,0,0.95,0,1.42
120,0,0,0,0,9.65,0,371.97,0,0,67.06,0,0,0,18.35,0,0,2.11,0,0,13.32,1.49,19.72,9.45,1843.87,0,18.54,0,0,0,0,0,0,191.27,0,0,14.33,0,0
