stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,379.6,4881.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.27,0,0,0,0,0,0,0,0,0,0,0
  5-6,419.42,5599.76,0,0,0,0,0,0,0,0,0,27.54,0,0,0,0,0,0,0,0,51.09,0,0,0,33.34,45.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.14,42.39,0,49.86,0,0,101.87,0,0,0,0,10.46,0,0,0,0,0,0,0,0,948.43,38.93,0,0,283.81,0,8.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.66,0,55.98,0,6.14,47.68,0,0,0,0,0,0,0,0,0,0,0,0,0,499.34,9.57,0,0,178.71,0,5.62,0,23.58,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,15.49,7.46,6.8,0,0,3.04,0,0,0,0,0.9,0,0,0,12.19,4.6,132.33,1.9,0,0,11.7,0,0,19.1,0.84,0,8.04,40.81,0,0,2.88,0,0
 24-34,0,0,0,0,2.69,0,5.68,0,0,1.1,0.67,0,0,0,0,0.64,0,0.6,3.22,2.88,62.82,0.68,0,0,0,0,0,0,0,0,1.46,12.99,0,0,0,0,0
 36-46,0,0,0,0,4.22,0,8.39,0,0,6.76,0,0,0,0,0,0,0,0,6,0.57,74.12,0,1.47,0,0,0.95,0,0,0,0,0,8.93,0,0,0,0,0
 48-58,0,0,0,0,0.39,1.98,19.6,0,0,5.13,0,0,0,0,0,0,0,4.5,12.89,1.45,72.79,0.48,0,1.91,0,0,0,0,0,0,0,21.13,0,0,4.89,0,0
 60-70,0,0,0,0,4.49,0.66,15.58,0,0,5.83,0,0,2.07,3.33,0,0,0,0,24.55,0,63.87,0,0,0,0,4.27,0,0,0,0,0,16.79,0,0,0,0,0
 72-82,0,0,0,0,2.56,0,17.43,0,0,11.62,0,0,0,0,0,0,1.53,0,12.66,1.23,87.78,0,0,2.07,0,0,0,0,0,0,0,27.77,0,0,0.96,0,2.57
 84-94,0,0,1.16,0,2.12,0,16.18,1.81,1.42,5.67,0,0,2.23,0,0,1.53,0,0.86,26.45,2.18,47.87,1.18,0,0.65,0,0,0,0,0,0,0,1.61,0.62,0.63,8.1,2.3,0
 96-106,0,0,0,0,0.91,2.01,6.1,0,1.05,10.19,1.21,0,0,0.6,0,0,0,0,16.86,3.8,42.81,1.43,0.71,4.02,0,10.75,0,0,0,0,0,2.15,0,0,3.06,0,0
108-118,0,0,0,0,1.69,0.75,21.64,0.95,1,17.27,0,0,0,0,0,0.63,0,0.55,28.69,1.54,32.36,0,1,0,0,0.64,0,0,0,0.49,0,0,0,1.53,0.74,0,0
120,0,0,0,0,0,0,1.38,0,1.98,7.96,0,0,0,0,0,0,0,0,5.09,0,78.51,0,0,0,0,0,0,0,0,0,0,1.34,0,0,3.55,0,0
