stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,58.23,116.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0
  5-6,24.49,78.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.93,0,0,10.31,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.86,12.03,0,0,67.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,35.32,0,0,10.42,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,160.08,26.64,0,0,84.21,0,0,9.52,0,19.63,0,0,0
 14-21,0,0,0,2.17,8.64,0.99,2.19,0,0,0,0,0,0,0,0,0,0,0.98,0,0,4.07,29.71,0.87,0,0,2.71,0,8.08,0,10.1,12.15,0,0,0
 24-34,0,0,0.81,0,7.22,0,5.68,6.48,0,4.99,0,0,0,0,0,0,0,7.07,0,0,2.23,95.98,1.97,0,2.33,0,0,0,0,0.66,30.86,0,0,0
 36-46,0,0,0,0,0,0,8.86,0,0,3.43,0,0,0,0,0,1.91,0,16.64,0,1.72,4.25,213.1,0,0,0,0,0,0,0,0,33.08,0,0,0
 48-58,0,0,0,0,1.53,0,28.82,1.67,0,11.03,0,0,0,0,0,1.59,0,7.18,0,0,1.87,223.71,0.4,0,0.97,0,4.88,0,0,0,40.77,0,0,0
 60-70,0,0,0,0,3.27,0,57.04,0,9.98,23.24,0,0,0,0,0,0,0.78,18.9,0,0,2.17,388.5,0,0,4.56,0,11.51,0,0,0,40.02,0,0,0
 72-82,0,0,0.93,0,6.89,0,93.67,6.8,0,35.5,0,0,0,0.72,1.23,0,0,15.95,0.58,0,3.75,317.01,0.82,5.14,2.89,0,10.64,0,0,0,23.49,3.24,0.93,0
 84-94,0,0,0,0,1.4,0,67.61,0,0,34.95,0,0,2.61,0,0,0,0,23.15,0,1.31,4.73,238.56,7.58,1.87,2.66,0,32.71,0,0,0,19.09,0,0,0
 96-106,0,0,0,0,0.99,0,29.58,0,0,29.93,0,0,0,0,0,6.58,0,17.31,0,0,0,175.41,1.05,1.65,0.73,0,29.3,0,0,0,9.57,1.98,0,1.41
108-118,0,0,0,0,6.26,0,49.36,0.76,0,35.48,0.42,0,0,0,0,0.98,0,26.76,0,0,0,177.62,1.45,0,2.56,0,17.57,0,0,0,2.11,1.1,0.65,0.99
120,0,0,0,0,0,0,38,0,0,52.15,0,0,0,1.01,0,4.83,0,12.64,0,0,0,243.45,0,3.57,0,0,22.78,0,0,0,14.31,0,0,0
