stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,24.05,278.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.22,75.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.58,0,0,0,18.16,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.64,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,138.95,0,0,0,42.85,0,3.3,5.55,0,10.14,0,0,0,0,0,0,0
 14-21,0,0,1.09,1.09,40.44,0.83,0,0.81,0,0,0,0,0,0,0,0,1.74,0,0,1.16,36.52,1.79,0,0,0.94,0,0,0,4.86,0,1.23,9.31,15.86,0,0,0,0
 24-34,0,0,0,1.27,37.95,1.21,5.25,1.72,0,0,0,0,0,0,0,0,5.63,0,0,1.37,43.8,0,0,0,0,0,0,0,0,0.94,0,2.6,7.07,0,0,1.46,0
 36-46,0,0,0,0,76.41,12.18,11.74,4.62,0.56,0,0,0.81,0,0,0,0,10.24,0,0,6.05,75.11,0,2.2,0.83,0,0,2.59,0.74,0,0,0.58,0,14.89,0,0,0,0
 48-58,0,0,0,0.4,12.72,19.58,6.06,1.51,0,0,0,0,0,0,0,0,3.18,0,0,1.26,42.92,6.08,0.39,0,0,0,0,0,0,0,0,0,10.16,0,0,0,0
 60-70,0,0,0,0,54.35,38.64,4.27,9.22,0,0.97,0,0,1.37,0,0,5.76,10.6,0,0.63,0,46.4,0,0.61,0,0,0,0,0,0,0.58,0,0,20.69,0,0,3.36,0
 72-82,0,0,0,0,8.4,31.1,1.3,9.07,0.53,0,0,0,0,0,0.94,0,11.82,0,0,0.63,18.3,0,0,0,0,0,0,0,0,0,0,0,2.82,0.8,1.32,0,0
 84-94,0,0,1.11,0,50.82,13.41,9.82,4.18,0,0.6,0,0,0,0,0,0,14.5,0.71,0,1.69,23.16,0,0.9,1.29,0,0,1.15,0,0,0,0,0,2.93,0,1.08,3.8,0
 96-106,0,0,0,0,25.99,5.44,8.01,10.92,0.98,0,0.95,2.39,0.8,0,0,0,13.74,0,0,1.84,24.7,0,1.92,0.83,0,1.17,1.96,0,0,0,0,0,0,0,0,2.32,0
108-118,0,0,0,0,40.9,18.2,19.99,10.76,2.06,0,0,5.06,0.74,0.53,0,0,17.51,0.93,0,1.87,14.5,0,3.44,0,0,5.54,6.95,0,0,0,0,0,0,0.51,0,0,0.6
120,0,0,0,0,36.74,2.65,13.68,12.39,0,0,0,3.42,0,0,0,0,10.28,1.65,0,0,14.41,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
