stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,3.97,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,65.24,0,0,0,15.91,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.53,0.98,2.66,0,32.26,0,0,0,0,0,7.65,0,0,47.88,0,4.53,0.89,3.97,0,8.18,17.87,3.32,84.05,0,0,0,0
 24-34,0,0,0,0,0,4.21,1.23,25.58,0,1.32,0,0,0,8.98,0,3.82,57.27,1.43,10.14,1.63,0,0,0,14.21,2.63,72.69,0,0.62,0,0
 36-46,0,0,0,0,0,7.72,0.62,17.56,0,0,0,0,0,2.89,0,0.85,40.49,0,15.85,1.99,0,0,0,13.34,0,35.03,0,0.87,0,0
 48-58,0,0,0,1.76,0,18.28,0.84,39.83,0,0,0,2.24,0,5.41,1.2,1.94,24.25,0,7.97,8.45,0,0,0,3.55,0,44.26,0,0,0,0
 60-70,0,0,0,0.72,0,28.78,0.84,29.75,0.63,0,0,1.23,0,8.89,0,2.19,25.94,0,21.74,8.15,0,0,0,0.68,0,20.93,0,1.49,0,0
 72-82,0,1.24,0,0,0,14.25,1.42,46.9,4.33,0,0,2.79,0,7.53,0,0.58,6.27,0,24.7,12.2,0,0,0,4.82,0,10.14,0,0,0,0
 84-94,0,0,0.59,0,0,34.88,1.14,15,0,0,0,1.94,0,5.81,0,0,15.82,0,27.99,10.94,0,0,0,8.19,0,14.23,0,0,1.09,0
 96-106,0,2.25,0,0.6,0,13.28,0,27.55,1.06,0,0,10.77,0,11.52,0,3.67,0.8,0,45.81,11.42,0,0,0,1.18,0,15.54,0,0.68,0.64,0
108-118,0,0.8,0,2.31,0,7.93,0.86,39.47,0,0,0.65,5.32,2.5,12.54,1.3,2.36,15.44,0,33.52,9.87,0,0.56,0,1.76,0,4.07,0,0.43,0,0
120,0,0,0,0,0,9.88,0,38.11,1.73,0,0,5.97,0,13.94,0,2.89,11.18,0,31.42,11.38,0,0,0,8.73,0,3.72,12.01,0,0,6.41
