stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.19,17.72,0,0,10.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.73,0,0,0,0,0,0,0,2.15,0,0,1.7,0,0,0,0,2.73,0,0,11.55,0,0,0,0,0,0.81,0,0,4.77,0,0,0,0,0
 24-34,0,0,2.97,0,0,2.33,9.14,0,0,0,0,0,0,0.62,0,0,0,0,31.43,0,2.84,23.54,0,0,0,0,0,1.81,0,0,8.67,0,0,1.08,0,0
 36-46,0,0,3.68,0,0,3.51,0.68,1.59,0,0,0,0,0,0,0,0,0,0,111.9,0,12.45,49.83,0,0,1.16,0,0,0,1.39,0,9.15,0,0,7.91,0,0
 48-58,0,0,5.7,0.77,0,24.98,2.88,4.28,0,0,0,0.49,0,0,1.9,0,0,0,240.8,0,16.47,76.78,0,0.73,0,0,0,0,0,0,8.47,0,0,2.15,0,0
 60-70,0,0,10.71,0,0,57.65,3.91,6.76,5.95,0,0,0,0,0,0,0,0,6.33,304.27,0,10.18,64.72,0,1.19,0,0,0,0.6,0,0,5.8,0,4.72,5.24,0,0
 72-82,0,0,7.76,0,0.55,33.2,7.86,9.83,3.38,0,0,1.98,0,0,0,0.65,0,1.69,500.12,1.15,19.59,75.17,0,0,0,0,0,0,0,0,7.89,0.76,7.89,19.69,2.87,0
 84-94,0,0,13.63,0.55,0,29.31,2.4,4.3,0.98,0.58,0,2.32,0,2,0,0,0,0,356.49,14.12,5.58,36.3,0,0,0,0,0,2.49,0,0,0,0,7.79,5.33,1.09,0
 96-106,0,1.07,19.67,0,0.71,12.52,4.8,7.02,8.74,0.78,0,0,1.32,1.64,0.92,0,0,0,466.99,5.06,11.85,42.64,0,0,0,0,1.92,0,0,1.32,0,0,8.42,12.75,7.92,3.88
108-118,0,0,25.15,6.38,0,29.65,3.17,3.17,12.47,3.57,0,0,0,5.97,0,0,1.13,0,452.81,7.54,10.97,47.22,0,0,0.51,0,0,0.91,0,0,3.09,0.81,4.16,12.85,0,0
120,0,0,73.8,0,0,29.35,4.78,19.8,16.34,0,0,0,0,0,0,0,4.16,0,609.88,11.85,52.71,60.28,0,0,0,0,0,0,0,0,0,0,0,14.92,8.47,0
