stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature
  5-6,28.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,18.38,0,0,4.04,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0
 14-21,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.47,0,0,0,0,0,0.84,0,0
 24-34,0,2.38,0,0.74,1.77,0,1.53,0,0,0.73,10.28,0,0,0,31.82,2.36,0.9,0,0,0,5.55,5.46,0,0
 36-46,0,0.9,0,1.28,12.33,0,0.75,0,0,0,2.9,0,3.02,0.68,20.02,0.81,1.42,0,0,0,2.66,2.84,0,0
 48-58,0,5.79,0,0.72,1.16,0,0.47,0.49,0,0,1.69,0,7.61,0,18.58,0.46,2.77,0,0,0,0.41,3.41,0,0
 60-70,0,0.67,0,3.16,0,0,0,0,0,3.76,6.25,0,5.09,0,10.33,0,0.76,0,0,1.8,2.36,2.86,0,0
 72-82,0,1.16,0,7.05,0,0.59,0.67,0,0,3.72,0,0.59,8.97,0.53,8.54,0,2.75,0,1.4,0,0,0,0.77,0.72
 84-94,0,2.46,0,1.88,0,0,1.06,0,0.71,8.65,2.47,0.57,7.12,0,5.65,0,2.38,0,0,0,0.58,0,0,0
 96-106,0,0,0.97,0,0,0,0,0,0.74,10.83,0,0,5.7,0,6.13,7.34,3.25,0,0,3.89,0,0,0.87,0
108-118,0,6.09,0,8.34,0,0.86,1.75,0,0,9.22,3.24,2.21,1.17,0,14.16,1.53,2.49,0,0,0,0,0.7,2.28,3.91
120,0,3.75,0,0,0,0,1.61,1.41,0,4.07,8.58,0,0,0,12.36,0,4.93,0,0,0,0,0,0,0
