stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,spinal.cord
  3-4,15.7,154.37,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,129.71,0,0,0,0,22.99,0,0,0,12.46,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,43.89,6.28,37.31,0
 10-12,0,0,0,0,0,0,0,0,0,0,71.77,0,11.16,0
 14-21,0.89,0,0,0.9,0,0,0,0,0,0,4.39,0,0,0
 24-34,0,0,0.66,0,0,0,0,0,0.61,0,5.71,0,0,1.92
 36-46,0,0,0,1.53,0,0,0,0,3.52,0,1.31,0,0,0
 48-58,0,0,0,0.59,0,0,0,0,0.38,0,0.64,0,0,0
 60-70,0,0,0,2.2,1.86,0,0,0,0,0,0.64,0,0,0
 72-82,0,0,0,2.44,0,0,0,0,0,0.92,0,0,0,0
 84-94,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0
108-118,0,0,1.58,0.55,0,2.09,0,0,1.42,0,1.09,0,0,0
120,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0
