stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.35,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,2.13,0,8.85,0,0
 24-34,0,0,0,4.16,0,0,0,0,0,0.6,0,0,22.36,1.52,0,0.64,0,5.34,5.55,0.68,2.22,1.86,0
 36-46,0,2.14,0,0.73,0,3.33,0.72,0,0,0,0,0.97,33.92,0,0.76,0,0,0,0,0,3.84,0,0
 48-58,0,2.62,0,3.51,3.75,3.91,0,0,0,4.98,0,1.22,21.33,0,0,1.14,0,0,0,0,2.75,0,0
 60-70,0,5.53,0,6.46,0,8.41,0,0,0,4.68,0,0,20.96,0,4.77,0,0,3.25,4.34,0,2.78,0,0
 72-82,0,0,0.86,21.75,0,13.94,0,0,0,4.53,0,1.8,33.64,0,0.88,0.81,0,0,0,0,5.79,0,0
 84-94,0,0,3.55,21.92,0,3.29,0,0,0,4.65,0.96,0,21.05,0.61,0,0,0,5.34,0,0,0,0,0
 96-106,0,0,0,2.73,0,13.72,0,1.41,0,2.78,0,0,30.06,0,0,0,2.14,0,0,0,2.72,0.83,0.69
108-118,0,0,0,2.23,0.72,6.01,0,0,0.73,1.6,0,0,15.18,0.81,0.7,0,0,2.03,0.97,0,0,0,0
120,0,0,0,22.03,0,0,4.48,0,0,5.44,0,0,60.76,0,0,2.34,0,0,0,0,3.78,0,0
