stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,364.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.03,368.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,9.21,0,0,0,0,0,0,0,0,0,0
  7-9,7.43,12.59,0,7.32,0,0,15.45,0,0,0,6.16,0,0,0,0,0,0,0,0,159.98,0,0,0,31.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.59,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,137.45,0,0,0,70.95,0,0,15.34,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,10.76,0,3.88,0,0,0,0,0,0,0,0,0,5.91,0,2.35,90.09,4.53,1.04,0,2.53,0,10.96,1.87,0.8,8.53,10.18,0,0,0,0
 24-34,0,0,0,0.64,1.3,0,12.85,0,1.99,0,0,0,0,0,0,0,11.51,0,3.56,142.93,2.26,0.75,1.76,0,0.74,0,0.76,6.66,1.07,30.5,0,0,0,2.07
 36-46,0,0,0,0,1.44,0,13.92,0,4.08,0,0,0,0,0,1.09,0,12.42,2.72,1.39,61.58,0,0,0,0,0.69,0,0,0,0,19.14,0,0.81,0,0
 48-58,0,0,0,0,8.09,0,21.31,0.45,8.87,0,0,0,0,0,0,1.38,6.62,0.38,1.6,70.8,0,1.22,0.9,0,1.97,0,0,0,0,11.94,0,0,0,0
 60-70,0,0,0,0,1.78,0,31.07,0,7.2,0,0,0.58,0,0,0,0,7.98,0,1.86,58.22,1.36,0,0,0,4.79,0,0,0,0,14,0,0,0,0
 72-82,0,0,0,0,0,0,12.66,0.5,8.41,1.75,0,0,0,0,0,0,21.33,6.94,0,44.06,0.52,0,1.63,0,4.75,0,0,0,0,1.25,0.56,1.38,0.51,4.82
 84-94,0,0,0,0,1.91,0,10.46,0,5.59,0,0,0,0,0,0,0,11.27,3.12,0.57,18.85,0,0,2.94,0,3.45,0,0,0,0,4.39,0,0,0,0.69
 96-106,0,0,0,0,0.65,0,16.15,0,5.93,0.57,0,0,0.74,0.58,0,0,11.31,2.88,0.67,18.29,0,0.85,0,0,0,0,0,0,0,1.24,0.68,3.13,0.64,0
108-118,0,0,0,0,0.84,1,5.9,0.79,6.04,0.41,0,0,0,0,0,3.06,3.25,0,0,23.79,0,0.66,0.53,0,3.29,0,0,0,0,0,0,0,0.65,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,16.46,0,5.73,26.02,0,0,0,0,1.84,0,0,0,0,0,0,0,0,0
