stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  5-6,11.42,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,31.66,0,0,0,81.41,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,20.77,0.94,0,0,0,1.73,1.48,0,0,45.29,0,0,0,1.86,2.62,0,1.52,13.34,1.05,0,0,17.56,0.81,39.18,6.6,7.81,1.4,0,0,0
 24-34,0,0,0,0,30.07,0,0.83,3.78,0,0,0,1.47,0,130.75,0,0,0,2.08,11.16,0,0,21.17,0,0,0,0,0.82,0,12.47,0.67,1.61,0,0,0
 36-46,0,0,0,0,39.49,0,0,10.91,0,0,8.1,0,0,61.91,0,0,0,0,5.83,0,0,85.2,0,0.63,0,0,0,0,16.16,0,0,0,0,0
 48-58,0,0,0,0,51.69,0.43,2.73,22.57,0,0.49,1.73,0,0,14.39,0,0,0.6,0.94,3.68,0.54,0,47.92,0,9.32,0,0,0.43,0,3.87,0,0.59,0,0,0
 60-70,0,0,0,0,30.54,0,0,40.26,6.6,0,1.3,0,0,16.55,6.71,0.85,0,0,7.35,0,0,85.3,0,9.91,0,0,0,0,11.47,0,0,0,0,5.74
 72-82,0,0,0.87,0,32.17,0,20.59,19.99,10.53,0,0,0,0,45.25,6.51,1.43,0.97,5.12,22.15,0,0,42.94,0,4.92,0,0,0,0,4.99,0,0,10.54,3.97,0
 84-94,0,0,0,0,73.92,1.15,4.49,43.95,4.27,3.03,1.52,0,0,86.97,3.08,0,0,0.67,22.86,0,0,52.83,0,17.01,0,0,0,0,17.93,0,0,48.62,0,0
 96-106,0,0,1.78,0,65.73,1.41,4.33,42.87,11.98,8.05,0,0,0,121.24,6.03,2.79,2.86,4.47,24.97,0,0,21.89,0,23.34,1.34,0,2.58,0,13.58,0,0,56.11,0,0
108-118,0,0,0,0.74,81.05,0,6.7,48.9,10.95,5.16,0,0,4.26,143.45,17.46,0.92,6.65,9.24,27.72,0,3.45,45.72,0.46,14.69,0,0,1.39,0,16.33,0,0,48.54,0,3.48
120,0,0,0,0,95.41,0,0,31.77,7.77,2.93,0,0,2.32,69.87,5.21,0,5.49,3.19,14.36,0,0,37.48,0,14.74,0,0,0,0,26.1,0,0,22.19,0,0
