stage,blastomeres,eye,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord,vasculature
  5-6,6.08,0,0,0,0,0,0,0,0,0,0
 10-12,5.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.46,0.88,0,0
 24-34,0,0.64,0,0,0.66,4.07,0,0,0,1.15,0
 36-46,0,0,0,0,0,1.87,0,0,0,0,1.03
 48-58,0,0,0.42,0,0,1.41,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.57,0,0,0
 96-106,0,0,0,0,0,7.25,7.29,0,0,0,0
108-118,0,6.34,3.42,0,0,0,0.89,0,0,0,0
120,0,0,0,5.9,0,0,0,0,0,0,0
