stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.36,68.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.76,6.95,0,0,24.53,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,65.65,0,0,0,0,0,0,0.92,0,0,0,46.2,0,0,0,0,7.51
 24-34,0,0,7.63,0,0.92,0,0,10.86,0,0,0,2.23,0,0,0.68,0,0,0,0,1.09,3.09,0,0,0,1290.44,0,3.17,0.75,0,0,3.41,0,5.52,0.67,0.61,289.48,0,0,6.52,0,48.3
 36-46,0,0,5.54,0,3.05,0,0,32.6,0,1.39,0,16.88,0,0,3.06,0,0,0,0,0.57,7.6,0,0,0.72,3207.27,0,7.14,0,0,0,1.41,0,0,0,0,505.21,0,0,12.16,0,21.46
 48-58,0,0,0,0,30,0,0,276.17,1.43,6.34,0.43,68.91,0.92,1.05,0,0,31.38,0.44,0,5.8,42.86,0,7.51,10.46,7443.95,1,6.34,0,0,0,10.78,0,6.55,0,0,698.45,0,0,23.03,0,35.91
 60-70,0,0,0,0,27.68,2.67,0,468.66,0.68,4.11,0,65.05,1.86,0,0,0,0,2.13,0,0,33.92,0,0,11.22,11353.86,1.41,5.2,0.81,0,1.13,5.77,0,4.97,3.38,0,866.65,0,0.79,20.77,0,22.4
 72-82,0,0,5.18,0,50.06,2.06,0,697.54,0,0,10.98,203.71,2.09,0.5,3.66,2.12,7.94,0,2.65,3.96,60.36,0.75,7.33,3.64,13005.49,1.98,17.1,1.5,0,0.71,8.54,0,0,1.5,0,664.52,2.02,0.66,14.76,1.25,30.28
 84-94,0,0,4.65,0,50.62,4.41,0,595.26,0,0,0.67,157.01,3.73,1.97,5.12,0,1.67,1.1,0,0.83,58.07,0,4.83,14.89,7938.47,0,11.42,8.83,0,8.5,7.53,0,1.67,0,0,443.47,0,0,15.17,5.69,11.42
 96-106,0,0,3.98,0,40.24,19.78,0,459.48,0,13.18,3.32,240.1,8.52,4.55,3.07,1.07,2.61,0.79,12.69,0,65.09,0,3.97,6.87,6908.53,2.3,8.26,1.76,0,0,28.22,0,3.16,0.68,0,165.2,1.13,2.13,14.22,4.24,6.47
108-118,0,0,6.21,0,54.76,9.06,4.21,404.93,0,4.91,0.6,197.2,3.21,0,3.14,0,0,0.69,4.39,0,48.94,0,1.77,3.16,7026.16,1.28,14.29,1.84,0,2.26,1.65,0,0.86,0,0,202.88,9.09,0,10.6,2.47,5.56
120,0,0,4.32,0,74.59,4.26,15.97,556.09,14.37,1.21,6.63,274.68,12.75,4.47,18.64,0,3.86,0,18.65,0,119.44,3.05,0,0,10728.74,12.48,0,4.64,0,9.21,2.52,0,16.03,0,0,171.92,0,0,13.01,0,0
