stage,blastomeres,eye,fin.mesenchyme,immune,neural,paraxial.mesoderm,spinal.cord,vasculature
  5-6,10.88,0,0,0,0,0,0,0
  7-9,5.14,0,0,0,7.59,4.33,0,0
 24-34,0,0,0.76,0.73,0.62,0,2.1,0
 36-46,0,0,0,0,0.63,0,0,0
 48-58,0,1.05,0,0,3.07,0,0.4,0
 60-70,0,0.66,0,0,2.68,0,0,0.75
 72-82,0,0,0,1.68,0,0,0,0
 84-94,0,1.05,0,2.31,1.72,0,0,0.59
 96-106,0,0,0,2.45,0,0,0,2.17
108-118,0,0,0,7.67,0,0,0,0
120,0,0,0,3.99,0,0,0,0
