stage,axial,blastomeres,endoderm,epidermis,eye,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.19,20.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.38,0,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0
 10-12,0,12.89,0,0,0,0,0,0,0,0,14.81,0,0,21.35,0,0,0,0,0
 14-21,0,0,0,0.85,0.83,0,0,0,0,0,12.95,1.08,0,0,0,0,0.98,5.26,0.81
 24-34,0,0,0,0,1.49,0,0,0.62,0,0.78,25.15,0,0,0,0,0.63,0,3.91,0
 36-46,0,0,0,2.48,0,0,0.57,1.04,0,0,5.51,0.82,0,0,0,0,0,1.17,0
 48-58,0,0,0,0,0,2.43,0,0.7,0,0,14.04,0,0,0,0,1.07,0,0,0
 60-70,0,0,0,0,0.96,1.92,0,0,0,0,9.49,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.83,0.94,0,1.83,0,0,10.76,0,0,0,0,0,0,0,0.63
 84-94,0,0,0,0,0,1.45,0,2.66,0,0.57,2.29,0,0.65,0,0,0,0,1.19,0
 96-106,0,0,0,0,1.98,0,0,1.42,0,0,0,0,0,0,1.47,0,0,0,0
108-118,0,0,0,0.47,0,0.48,0,0,0,2.44,4.2,0,0,0,0,0,0,4.17,0
120,0,0,0,0,0,0,0,0,8.9,2.94,13.35,0,0,0,0,0,0,0,0
