stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,lateral.line,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,25.75,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.83,1.51,0.8,2.54,0,9.18,0.83,5.04
 24-34,0,0.71,0,0,0,0,0,1.05,0,0.68,0,0,5.03,0,2.59,0,0,9.13,0,1.56
 36-46,0,0,0,0,0,0,0,0,0,2.16,0,0,0.7,1.58,8.25,0,0,12.96,0,1.94
 48-58,0,0,0.47,0,1.38,0,0,0.51,0,2.55,0,0,3.75,4,18.46,0,0,15.72,0,2.03
 60-70,0,0,0,0,0,0,0.59,0,0,8.08,0,0,6.62,0,26.01,0,0,4.02,0,2.2
 72-82,0,0.62,0,3.07,4.88,0,0,0,0,14.97,0,1.96,5.47,4.92,31.07,0,0,0.86,0,0.93
 84-94,0,0,0,0.64,0,0.56,0,0,0,22.91,2.47,0,2.46,9.89,40.06,0,0,2.59,0,0
 96-106,0,0,0,0,0,0,0,1.8,0.85,50.21,0,0,6.35,10.14,67.38,0,0.61,4.52,0,0
108-118,0,0,0.86,0,0,0,0,2.11,2.61,30.05,0,7.34,7.72,3.96,56.01,0,0,4.39,0,0
120,0,0,5.93,0,0,0,0,0,0,54.64,0,0,13.8,12.08,61.93,0,0,8.42,0,2.96
