stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.75,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.72,0,0,0,14.87,0,4.52,0,0,0,0,0,0,0,0,0
 14-21,0,1.14,0.89,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.43,2.33,0,0,0,0,2.51,0.91,0,0,1.02,0.84,0,0,0,0
 24-34,0,0.63,0,2.92,0,0,0,0,0,0.89,0,0,0,0,0,7.72,0,0,1.38,8.94,1.75,0,0,0,0,4.06,0,0,0,0,13.86,0,8.06,0,0
 36-46,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,6,3.58,0,0,0.65,33.69,3.47,0,0,0,0,6.11,0,0,0,0,13.47,0,12.36,0,0
 48-58,0,0,0,0.47,0,0,0,1.06,0,0.51,0,0,0,0,17.91,10.35,0,0.52,1.07,59.61,0.88,0.86,0,0,0,4.29,0,0.43,0.9,0,13.33,0,6.85,0,0
 60-70,0,0,0,28.34,0,0,0,2.39,0,0.66,1.31,0,0,0,11.16,14.25,0,5.72,0.77,102.17,4.59,0,0,0,0,1.9,0,4.97,0,0,6.78,0,2.69,0,0
 72-82,0,3.98,0,82.3,4.55,0,1.95,5.97,0,0.7,0,0.83,0,0,10.46,12.46,0.78,2.91,0,107.3,2.74,0,0,0,0,0,0,0,0,0,15.12,1.49,5.99,0,0
 84-94,0,2.04,0,125.73,0,0,1.42,5.25,0.86,0,0,1.11,0,0,31.65,21.4,0,2.39,1.65,78.04,1.67,0.95,0,0,0,14.92,0,0.8,0,0,17.3,1.99,11.25,2.76,0
 96-106,0,0.71,0,142.66,0,0,6.47,9.87,0.9,4.72,0,1.6,0,0,10.48,10.16,0,6.76,0,77.68,1.45,4.37,0.74,0,2.93,17.91,0,0,0.6,0,6.68,1.26,9.23,0.69,0.79
108-118,0,2.44,0,162.15,0,1.06,0,14.81,2.17,0,2.4,9.09,0,1.26,14.51,20.37,0,1.11,0,84.09,0,0.55,0,0,0,6.66,0,0,0,0,2.23,1.24,10.76,0.5,0
120,0,1.23,0,147.24,2.24,4.34,0,28.77,0,0,0,0,1.74,0,8.09,10.09,0,2.4,1.66,138.83,5.54,2.88,0,0,0,4.6,0,1.83,0,0,2.78,0,0,0,0
