stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,lateral.line,mesenchyme,muscle,neural,otic,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4,0,0,0,0,0,4.31,0,0,0,0,0,0
 14-21,0,0.88,0,0.85,0,0,1.26,0,0,0,0.91,0,3.18,0,2.29,0,0
 24-34,0,0,0,0,0,0,0,0,2.14,0.64,10.87,0.67,0,0.64,0,0,0
 36-46,0,0,0,0,1.84,0,0,0,0,0,21.02,0,0,0,0.9,0,0
 48-58,0,0,0,0,1.8,0,0,0,0,0,17.23,0,0,0,7.76,1.09,0
 60-70,0,0,1.68,0,5.42,0,0,0,0.93,0,4.52,0,0.87,0,6.35,0,0
 72-82,0,0,0,0,0,0.71,0,0.74,1.64,0,12.75,0,0,0,1.21,0,0.59
 84-94,0,0,0,0,0.96,0,2.16,0,2.22,0,9.92,0,1.97,0,0,0,0
 96-106,0,0,0,0,4.87,0,0,0,0,0,2.04,1.03,1,0,0,2.59,0
108-118,0,0,0.49,0,7.71,0,0,0,3.54,0,1.97,0,0.43,0,0,0.6,0
120,0,0,1.67,0,0,0,0,0,0,0,2.62,0,0,0,0,0,0
