stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.62,109.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.03,196.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93,0,0,0,0,0,0,0,0,0
  7-9,6.22,5,3.3,0,0,0,24.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.78,4.4,0,0,60.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.1,30.89,0,0,0,23.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.7,6.24,0,0,85.77,0,0,6.6,0,0,4.33,0,0,0,0
 14-21,0,0,0,3.54,0,0,3.05,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,3.08,34.07,3.02,0,0,0.87,0,2.08,0.84,2.31,3.62,16.09,0,0,0,0
 24-34,0,0,0,7.14,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,4.72,81.84,1.03,0,0,0,0.76,0,0,0,0,9.5,0,4.66,0,0
 36-46,0,0,0,0,0,0,20.97,0,0,1.28,0,0,0,0,0,0,0,0,0,18.56,0,0.8,65.61,0,0,0,0,3.36,0,0,0,0,17.12,0,4.71,0,0
 48-58,0.77,0,0,0,0,0,24.76,0,0,12.6,0,0.48,0.48,0,0,0.39,0,0,0,12.23,0,1.28,72.27,0,0,0.5,0,3.81,0,0,2.25,0,21.26,0,8.23,0,1.33
 60-70,0,0,0,0.57,0,0,51.55,0,0.68,3.36,0,5.25,1.45,9.57,0,0,0,0,0,17.34,0,0.69,75.2,0,0,0,0,0,0,0,0,0,11.79,0,3.98,0,0
 72-82,0,0,0,0.73,7.47,0,36.63,0,0,5.22,0,3.69,0,0.55,0.56,0,0,0,0,14.05,0,0.54,44.37,0,0,0,0,2.27,0,0,0,0,6.46,0,3.85,1.16,2.54
 84-94,0,0,0,0,0,0,22.27,0,0.65,1.4,0.9,0,0,6.11,1.2,0,0.73,0,0,6.39,0,0.98,61.45,0,0,3.45,0,4.99,0,0,0,0,4.78,0,0,0,0
 96-106,0,0,0,0,2.91,0,16.33,0,0,5.84,1.36,0,1.33,0,0.84,0,0,0,0,3.98,0.63,1.43,44.65,0.62,2.3,0.65,0,8.93,0,0,0,0,0,0,2.1,0,0
108-118,0,0,0,3.09,1.76,0.64,27.58,0.43,0,7.28,0.66,0,0,3.51,1.06,1.37,0,0.87,1.8,9.33,0.5,3.04,45.72,0,2.81,0,0,2.92,0,0,0,0,1.03,0,2.39,0.89,0.84
120,0,0,0,3.25,0,0,26.93,1.05,0,7.31,0,0,0,0,0,0,5.46,0,0,14.12,0,2.55,118.94,0,6.59,0,0,5.71,0,2.12,0,0,8.77,2.55,0,0,12.45
