stage,epidermis,eye,glial,lateral.line,mesenchyme,neural,olfactory,otic,presomitic.mesoderm,pronephros,somites,spinal.cord
 14-21,1.86,0,0.87,0,0,0.86,0,0,0.95,1.74,0,4.57
 24-34,0,0,0,0,0,3.75,0,0,0,0,1.08,1.39
 36-46,0,0.74,0.71,0.8,0.77,2.14,0,0,0,0,0,5.99
 48-58,0,3.47,0.59,0,1.21,0,3.07,0,0,0,0,5.09
 60-70,0,5.04,1.38,0,0.83,3.15,0,0,0,0,0,0
 72-82,0.63,0.57,1.06,0,0,0.67,1.87,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.71,0,0,0,0
 96-106,0,2.49,0,0,0,1.05,0,0.93,0,0,0,0
108-118,0,0.68,0,0.67,0,0.51,0,0,0,0,0,0
120,0,0,0,0,0,1.19,0,0,0,4.05,0,0
