stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.7,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.08,0,0,7.19,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,21.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,4.24,0,0,0,10.25,0,0,0,0,0.97,2,0,0
 24-34,0,0,0,0.85,0,0,6.27,0,1.38,0,0,0,0,0,0,3.87,0,0,0.73,18.57,0,2.24,0,0,0.64,1.43,0,0
 36-46,0,0,0.84,0,0,0,12.86,0,0,0.6,0,0,0,0,0,0.7,0,0,1.06,49.04,0,3.57,0,0,0.91,3.57,0,0
 48-58,0,0,0,0,0,0,20.66,0,0,0,0.52,0,0,0,0,1.27,0,1.68,0,66.72,0.39,0.9,0,0,0,7.5,0,0
 60-70,0,0,0,2.05,0,0,26.1,0,0.68,0.98,0.62,0,0,0,0,2.48,0,0,0,29.24,0,1.23,0,0,0,6.34,0,0
 72-82,0,0,0,0.86,0,0,43.42,2.61,0,0,1.23,0,0,1.9,0,0.98,0,0,1.13,68.49,0,14.13,0,2.81,1.95,5.74,0,0
 84-94,0,0,0,4.32,0,0,36.88,0.57,0,0,0,0,0,0,0,0.71,0,0,0,75.57,0,6.23,0,0,2.24,0,3.53,0
 96-106,0,0,0,0.6,2.54,0,52.92,0,0,0,0,1.5,0,0,0,10.8,0,0.78,0,53.73,0,3.83,0,0,0,0,1.53,0.6
108-118,0,0,0,0,0,0.46,19.6,0,0,0,1.88,3.71,0,0,0.47,12.43,0.94,0,1.51,41.84,0,5.37,0,0,0,0,2.06,0
120,0,0,0,0,0,0,32.14,0,0,0,0,0,4.22,0,0,12.14,0,0,1.86,145.71,2.15,4.59,0,0,0,1.53,0,0
