stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,136.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,77.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.44,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,48.63,0,0,16.42,0,0,0,0,0,6.84,0,0,0,0
 14-21,0,0.81,25.43,2.99,4.6,0,0,0,1.33,0,0,0,0,0,0,0,3.26,0,9.08,29.67,10.84,0,0,0.81,0,1.88,2.24,14.51,1.78,15.04,22.06,0,0,0
 24-34,0,0,0.93,0,2.78,0,0,0.67,1.35,0,0,2.28,0,0,0.66,0,3.56,0,9.49,28.66,2.69,0,0,0,0,1,1.06,0,0,2.87,1.93,0,0,2.26
 36-46,0,0,0,0,0.66,0,0,1.18,3.96,0,0.56,0,0,0,0,0,4.01,0,2.19,28.55,0.67,0,0,0,0,1.83,0,0,0,0,11.02,0,0,0
 48-58,0,0,0.64,0,13.83,0.53,0,0.45,5.03,0,6.59,0,0,0,0,0,13.28,0,4.9,28.78,1.02,0,0,0,0,4.55,0,0,0,0,6.72,0,0,0
 60-70,0,0,0,0,8.54,0,0,0,11.77,0,10.82,0,0,0,0,0,13.16,0,7.92,31.4,0,1.42,0,0,0,0,0,0,0,0,12.97,0,0,0
 72-82,0,0,0,0,11.7,0,0,2.09,6.86,2.01,14.71,0,0,0,0,0,43.01,0.74,3.77,24.03,0,0,0,0,0,1.94,0,0,0,0,1.22,0,0,0
 84-94,0,0,1.54,0,13.76,0,0,2.61,11.32,0,8.35,0,0,0,1.15,0,23.63,0.89,5.36,33.29,0,0,0,0,0,4.3,0,0,0,0,8.64,0,1.26,1.1
 96-106,0,0,1.89,0,4.99,0,1,2.44,12.78,1.61,8.8,1.39,0,0,2.05,0,33.19,0.84,1.54,16.23,0,0,0,0,1.57,18.73,0,0,0,0,1.94,1.26,0,0.88
108-118,0,0,0.67,0,8.72,0,0.59,0,7.66,0,5.57,0,0.56,0.65,0,0.78,31.21,0,3.3,28.17,0,0.54,0,0,0,11.03,0,0,0,0,6.03,0.43,0,0.6
120,0,0,0,0,22.41,0,2.26,0,0,0,20.88,2.26,0,0,0,0,29.29,2.22,1.81,35.48,6.07,0,1.84,0,0,42.02,0,0,0,0,0,0,0,0
