stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0
 10-12,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,23.99,0,0,0,9.37,0,0,1.86,0,0
 24-34,0,0,0,1.78,0,0,0,163.93,0,0.78,0,5.57,0,0,0.72,0.85,0
 36-46,0,5.63,0,0,0.84,0,0,381.78,5.6,0.77,0,10.97,0,0,5.97,0,0
 48-58,0,0.51,0,1.77,0,0,0,303.5,0,2.45,0,17.51,0,1.19,1.08,0.84,0
 60-70,0,0.77,0,7.17,1.93,0,0,385.94,0,1.97,0,0.92,0,0,0.82,0,0
 72-82,0,2.39,5.8,0,3.7,0,0.89,267.11,0,4.66,0,15.13,0,0,0,0,0.51
 84-94,0,0,0,0,0,0,0,432.96,0,0,0,8.19,0,0,0,0,0
 96-106,0,0,0.96,1.6,4.44,1.9,0,477.65,0,6.56,0,7.3,0.67,0,0,0,0
108-118,0,0,0,0,0,0.68,0,360.44,0,0,0,6.26,0,1.53,2.21,0,0
120,0,0,0,3.87,0,1,0,727.31,0,0,4.12,15.7,0,0,0,1.1,0
