stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,172.26,4080.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,0,0,0,0,0,0,0,0
  5-6,189.53,6590.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.53,54,0,0,62.79,0,67.81,0,0,0,0,0,0,0,0
  7-9,101.75,188.12,0,273.64,0,0,0,310.75,0,0,0,0,174.81,0,0,0,0,0,0,0,0,0,0,4114.39,169.8,0,0,1211.87,0,7.81,13.91,0,0,0,0,0,0,0
 10-12,0,58.92,0,312.27,0,5.53,0,188.91,0,0,0,0,26.4,0,0,0,0,0,0,0,0,0,0,1737.13,12.77,0,0,275.76,0,0,5.95,0,62.06,0,3.28,0,0,0
 14-21,0,0,2.33,7.44,126.65,5.32,0,4.86,1.99,0,8.99,10.37,0,0.89,0,2.01,0,0,0,21.17,0.83,0,7.74,73.37,3.32,5.39,8.63,4.16,0,0,1.4,13.21,12.52,10.89,30.02,0,0.87,0
 24-34,0,0,1.32,8.94,55.46,0.66,0,4.09,4.45,0,1.88,6.21,0,1.33,0,9.16,0,4.68,5.11,8.75,0,1.21,1.69,95.6,1.47,19.63,19.67,0,0,13.33,0,0,11.09,4.57,6.47,0,1.51,0
 36-46,0,0,0,0,34.49,0,0,4.29,20.75,0,7.99,2.2,0,0,0,3.48,0,2.15,2.9,9.94,0,0,0,79.66,0,19.89,9.4,0,0,20.48,0,0,13.77,0,7.25,0,0,0
 48-58,0,0,1.22,0.43,23.12,0,0,22.17,8.53,0,4.49,9.17,0.93,0,0,0,0,5.35,1.76,11.53,0.39,0.53,0,56.12,2.88,4.46,23.62,0,0,26.91,0,0,14.23,0,2.76,0,0.48,0
 60-70,0,0,0.86,0,25.09,0,0,47.8,11.74,1.21,24.42,31.01,0,0,9.53,6.8,0,9.49,6.95,3.34,1.14,3.2,0,32.5,0,7.74,9.1,0,0,15.04,0,0,8.85,0,8.39,0,0,0
 72-82,0,0,6.91,0,20.58,0,0,28.3,5.61,0,4.02,31.34,0,0,0,2.64,0,5.27,0.77,2.87,1.08,0,0,15.22,0,7.09,6,0,0,15.35,0,0,16.36,0,3.07,6.48,0,0
 84-94,0,0,3.22,0,21.43,0.78,0,24.6,6.69,0,5.15,40.23,0,0,0,8.8,0,1.47,0.89,8.18,1.98,1.33,0,19.37,0.61,16.76,21.04,0,0,27.12,0,0,12.91,0,4.61,3.9,0,0
 96-106,0,0,5.2,0,47.17,0.68,4.15,26.34,0.89,0,2.43,41.23,0,0,0.93,2.9,1.03,9.12,9.62,5.55,9.85,0,0,46.67,0,9.17,9.03,0,1.36,15.02,0,0,18,0,4.32,5.7,0,2.75
108-118,0,0,1.8,0,50.79,1.66,2.92,21.79,7.7,1.28,7.19,45.96,0,0,0,4.15,0,5.56,9.62,8.19,2.96,1.84,3.29,29.14,0,8.79,7.9,0,0,14.49,0,0,12.24,0,2.58,6.28,0,0
120,0,0,13.76,0,29.38,0,0,34.96,4.61,0,0,44.22,0,0,0,12.37,0,2.12,5.86,6.81,1.31,4.29,0,23.34,0,53.39,5.2,0,0,18.1,0,0,18.31,0,0,1.94,0,0
