stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,70.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.61,0,0,0,0,0,0
  5-6,6.36,116.26,0,0,0,0,0,0,0,0,0,0,7.71,0,0,7.5,25.35,0,0,0,0,0,0
  7-9,5.34,0,12.27,0,0,0,0,0,0,0,0,0,148.56,0,0,138.84,5.38,0,0,0,0,0,0
 10-12,0,0,9.68,0,0,0,0,0,0,0,0,0,159.44,0,0,186.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,2.84,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.8,0,2.14,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.86,5.12,0,0,0.68,0,0,0,0,0,1.26,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,1.4,0,0,0,0,0,0,0.47,7.75,0,0.82,0,0,0,1.3,0,0,0,0
 60-70,0,0,0,0,2.87,0,0,0,0,0,0,0,3.09,0,1.1,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.57,0,0.78,0,0.8,0,0,0,0.79,0,2,0,0,0,0,0,0,1.04,0.69
 84-94,0,0,0,0,0.73,0,0,0,0,0,0.65,0,0,1.33,4.45,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.14,0,4.41,0,0,6.69,0,1.69,0,0,0,0,0.59,0,0,0
108-118,0,0,0,0.73,0,0,0,0,1.92,0,0,0,1.64,0,0,0,0.58,0,0,0,0.86,0,0
120,0,0,0,2.62,0,0,0,0,0,0,0,0,0,0,13.44,0,1.62,0,0,0,0,0,0
