stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.09,96.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0
  5-6,0,56.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.65,0,0,0,12.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.02,0,0,0,12.26,0,0,0,11.27,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,22.64,0,0,0,0,7.43,0,0,0.99,0,0,0,0,0,0,0,2.3,0,0,5.65,52.83,1.85,0,1.14,1.44,0,0,28.17,0,10.54,57.07,14.36,0,0,2.47,0,0
 24-34,0,0,0,0,107.82,19.89,0,15.85,0,1467.34,1799.31,6.48,0,0,0,5.25,0,1.32,1.2,1.29,119.1,0,0,665.55,251.49,27.05,0,2.68,0,0.99,16.28,0,1.23,3.85,655.35,235.27,0,0,13.66,0,0
 36-46,0,0,0.73,0,60.56,0,0,48.13,4.73,8768.36,9876.5,25.12,1.86,0,42.8,2.77,0,1.33,0,6.46,165.45,0,0,1364.29,392.57,15.63,1.31,3.39,0,0,23.43,0,0,10.83,5.84,224.73,0,0,14.31,0,18.57
 48-58,0,0,0.46,0,56.14,2.76,0,184,0.8,11191.46,23495.17,39.53,0.94,0,6.83,7.2,1.9,0.94,0.8,1.51,526.19,0.59,1.91,754.81,775.39,8.37,2.21,5.64,0,0,20.53,0,0.43,3.98,0,225.59,0,0.42,25.71,0,22.89
 60-70,2.42,0,0,0,61.19,0,0,258.3,0.58,10068.68,30049.16,40.3,0,0.84,0.83,0,0,1.55,1.33,3.72,552.02,0,1.71,494.74,420.52,0,1.95,0.65,0,2.39,35.6,0,2.71,0,0,80.16,0,0,12.16,0.98,85.33
 72-82,0,0,0,0,50.53,28.33,0,1203.76,0,9250.43,39476.29,71.01,21.58,4.99,0,1.21,0,3.16,5.87,6.03,433.68,0.78,1.63,1551.14,562.18,6.21,9.26,6.73,0,1.12,79.43,0,9.24,0,0,109.36,2.43,2.92,13.64,15.95,193.41
 84-94,0,0,0,0,62.77,26.13,0,1022.21,0,13653.8,29397.87,116.1,17.18,31.14,2.35,25.79,31.2,3.52,0,10.43,842.35,6.01,2.28,497.15,295.51,3.42,1.1,9.59,0,0,75.29,0,0.67,0,0,59.7,86.62,3.7,2.57,9.42,9.94
 96-106,1.12,0,3.2,79.54,157.24,108.85,6.33,711.28,7.86,11939.06,25876.32,48.14,8.35,0,18.17,9.48,10.57,19.08,15.31,0,441.39,0.8,1.26,95.41,417.55,0.61,4.45,14.42,0,2.5,78.17,0,1.4,0,0,14.93,4.64,9.75,23.79,22.7,30.11
108-118,0,0,1.58,0,97.01,33.2,9.61,322.43,1.4,13460.9,16381.51,76.76,21.71,1.84,10.5,10.66,9.45,3.14,16.25,0.72,499.11,21.33,7.83,170.86,475.02,0.46,16.64,16.05,0,0,78.3,0,1.48,0.69,0,32.49,2.7,2.46,4.05,1.59,6.3
120,0,0,0,0,85.49,19.55,2.19,289.01,0,8255.79,14000.11,53.95,6.6,0,0,4.13,6.44,4.17,21.55,0,469.44,14.73,0,197.18,394.97,4.29,10.3,2.28,0,7.06,44.52,0,0,2.07,0,23.94,0,0,11.1,10.16,4.37
