stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,20.88,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,0.83,0.84,4.38,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0.88,20.29,0,0,0,0,0,0,0,0,0.87,1.16,0,0,3.16,0
 24-34,0,0.83,0,0.83,0,0,1.97,0.66,0,0,1.94,0,0,0,0,0,0,0,0,4.61,0,0.69,70.57,0,23.65,0,0,0,0,0,3.18,0,13.23,0,0,12.66,0
 36-46,0,0,0.78,0,0,0,17.96,3.09,0,0,14.06,0,0,0,0,0,0,0,0,5.04,1.84,0,175.57,0,44.2,0,0,0,0.61,0,0,0,41.3,0,0,6.05,0
 48-58,0,0,0.42,0,2.26,0,66.52,0,2.38,0,35.92,0,1.63,0,0,0,0,0,3.19,16.44,0,1.03,326.8,0,25.25,0,0,1.37,0.45,0,0.41,0,49.54,0,0,14.55,0
 60-70,0,0,1.14,0,2.42,0,620.99,0,1.18,0,19.52,0,0.76,0,0,0,0,0,0,59.89,0.75,0.77,763.11,0,36.18,0,0,0,2.12,0,3.95,0,33.6,0,0,10.32,0
 72-82,0,0,4.01,0,8.15,0,1453.82,0,0,0.82,57.42,0,4.93,0.52,0,6.58,0.67,3.31,0,51.79,1.12,4.03,1171.64,0,52.89,0.79,0,0,0.54,1.46,0,0,68.84,0,1.79,18.94,0
 84-94,0,0,5.67,0,6.65,10.39,792.9,2.25,0,0,61.77,1.67,3.92,1.88,0,1.54,3.23,0.83,0,34.69,2.63,0,992.18,0,59.62,0,0,0,10.17,0,0,0,30.51,0,8.03,6.54,0
 96-106,0,0,6.03,0,4.07,18.33,765.83,0,0.83,0,51.47,2.23,0.58,3.9,0,1.25,10.17,10.84,0,48.19,4.1,2.41,912.85,0,71.79,0.85,0,3.01,4.12,0,0,0,34.6,7.05,0.68,20.42,0
108-118,0,0,4.2,0,14.31,1.18,720.55,4.82,0.56,0,67.69,2.48,0.63,1.31,1.61,0,1.85,7.86,0,67.51,5.01,1.1,1054.77,0,54.54,0.51,0,0,3.66,1.88,0,0,21.97,1.26,0.8,19.72,2.95
120,0,0,0,0,11.33,2.67,645.09,4.89,3,22.92,34.31,1.38,4.83,6.01,0,0,3.84,0,0,24.2,0,12.34,1807.59,5.7,49.36,0,0,0,5.25,0,0,0,16.34,0,0,63.32,0
