stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,325.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.11,0,0,0,0,0,0,0,0,0,0
  5-6,15.98,144.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.81,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.08,7.1,0,0,15.84,0,3.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.49,0,9.11,0,0,3.47,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,17.64,12.09,0,0,33.35,0,0,3.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,3.88,0,0,0.99,16.02,0,0,0,0,0,20.43,0.9,0.9,0,0,0.88,5.23,0,0,0,0
 24-34,0,0,0,0,5.86,0,4.36,0,0,0,1.82,0,0,1.75,0,1.75,0,0,0,15.68,0.82,0,6.83,35.78,0,0.76,0,0,0,72.83,0,0,0,0,1.91,4.4,0,0,0,0
 36-46,0,0,0,0,16.59,0,8.65,0,0,0.61,0,0.72,0,0,0,0,0.88,0,0,23.44,0.77,0.68,2.79,22.41,0,0,0,0,0,100.95,0,0,0,6.12,0,4.3,0,0,0,0
 48-58,0,0,0,0,32.55,0,41.45,0.51,2.26,2.71,0.79,0.49,0,0,0,1.82,0,2.18,0,13.62,1.39,0,4.26,21.95,0,1.01,0.82,0,0,54.45,0,0,0,7.17,0,7.38,0,0,0,0
 60-70,0,0,0,0,21.02,0,257.16,0.74,0.64,1.4,0,0,0,0,0,0,0,1.87,0,16.29,9.49,1.04,0.78,17.42,0.71,0,4.04,0,0,48.39,0,0,0,9.36,0,3.58,0,0,0,0
 72-82,0,0,0,0,19.45,0,227.74,0,2.88,3.32,0.78,3.62,0,0,0,6.84,0,19.29,4.21,22.41,8.87,0,1.53,34.46,0,0.74,6.07,0,0,32.38,0,0,0,10.32,0,5.63,0,0,0,0
 84-94,0,0,2.53,0,37.42,0,267.43,0,3.76,2.84,3.5,5.49,0,0.82,0,1.39,0,8.85,0,32.52,9.87,0.58,3.01,35.89,0,0,12.66,0,5.03,109.43,0,0,0.58,16.77,0,0,0,0,1.03,1.13
 96-106,0,0,0,0,32.86,0,219.62,0,0,0.57,0.65,13.99,0,1.24,3.95,2.79,0.64,20.26,0,23.7,12.07,0,0,60.82,0,1.3,9.41,0,0,90.62,0,0,0.7,7.81,0,2.07,2.19,0,0,0.69
108-118,0,0,4.02,0.49,52.42,0.56,228.22,0,4.47,7.42,8.67,14.03,0,0,0,4.81,2.65,21.14,0,25.13,25.37,0,0,60.95,1.18,2.25,20.37,0,0,66.17,0,0,0,11.74,0,0,1.94,3.22,1.04,0
120,0,0,0,0,59.48,0,233.13,0,0,6.89,0,9.08,0,0,0,1.36,0,5.57,0,13.95,5.22,0,5.1,56.09,0,0,18.73,0,0,54.59,0,0,0,4.76,0,3.5,0,0,0,0
