stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,1088.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.37,0,0,0,0,0,0,0,0,0,0
  5-6,37.6,689.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.69,9.48,0,0,0,55.49,0,0,0,0,11.46,0,0,0,0,0,0,0,0,0,275.29,11.16,0,0,142.72,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,3.37,34.93,0,10.78,0,47.18,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,285.92,15.87,0,0,199.9,0,8.5,4.75,25.98,0,0,0,0,0,0,0
 14-21,0,0,2.82,11.01,4.04,0,10.12,0,0,1.2,0.82,0,0.96,0,0,0,0,4.09,0,0,7.11,93.5,0,0,1.28,0,0,1.12,12,0.89,0,32.04,17.97,0,0,1.06,0
 24-34,0,0,0,1.19,3.11,0,11.89,0,0,3.71,0,0,0,0,0,0,1.4,5.24,0.76,0,6.05,100.09,0,1.33,2.1,0,1.4,0,0,0,0,2.71,14.4,0,0,13.63,2.02
 36-46,0,0,0,0.77,0,0,17.38,0,0,0.83,0,0,0.75,0,0,0,0.67,6.83,0,0,0.65,80.97,0,0,1.37,0,1.23,0.81,0,0,0,0.69,16.79,0,0,1.34,0
 48-58,0,0,0,0,0,0,17.14,0,0,6.28,0,0,0,0,0,0,0,11.37,0,0.54,3.28,31.51,0,0,0,0,0,0,0,0,0,0,5.81,0,0,4.87,0
 60-70,0,0,0,1.98,0,0,33.74,0,0.86,1.96,0,0,0,0,0,0,0,1.8,0,0,1.64,17.09,0,0,1.52,0,3.07,0,0,0,1.33,0,1.76,0,0,2.07,0
 72-82,0,0,0,2.58,0,0,23.29,0,0,5.84,3,0,1.26,0.63,0,0,0,11.84,0,0,3.27,33.22,1.02,0,1.19,0,0,0,0,0,0,0,8.93,1.8,0,8.99,5.74
 84-94,0,0,0,2.14,2.79,0,22.02,0.91,0.6,15.36,0,0,0,2.82,0,0.55,0,18.09,0,0,2.16,17.57,0,6.23,0,0,4.67,0,0,0.58,1.56,0,1.81,0,0,2.91,0
 96-106,0,0,0,7.29,0,0,22.06,0.64,0.8,7.68,0,0,0,0,0,0,0,16.43,0,0,6.09,20.09,0,0,0.98,0,8.24,0,0,0,0,0,3.05,2.45,0,9.16,11.13
108-118,0,0,0,8.68,0.59,4.03,37.82,0,2.16,10.7,0.9,0,0,2.85,0.55,0.84,0,21.81,0,1.08,4.47,39.91,1.48,0,0.74,0,6.51,0,0,1.6,0.51,0,1.08,0,0,4.91,0
120,0,0,0,20.74,4.48,0,28.83,0,0,8.53,3.1,0,0,3.49,0,0,0,39.68,0,0,7.57,81.82,1.33,2.92,2.56,0,17.99,0,0,0,0,0,2.14,0,1.52,23.2,0
