stage,axial,blastomeres,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc
  3-4,17.22,353.33,0,0,0,0,0,0,16.81,0
  5-6,6.56,181.38,0,0,0,8.36,0,0,0,0
  7-9,0,8.75,0,34.68,3.2,89.49,3.43,37.85,0,4.77
 10-12,0,27.09,5.97,25.09,15.32,306.87,10.09,167.65,0,0
