stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,32.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.68,3.8,0,0,5.14,0,4.58,0,0,0,0,0
 10-12,0,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.55,4.64,0,0,4.58,0,0,6.14,0,0,0,0
 14-21,0,0,1.32,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,2.85,0,0,0
 24-34,0,0,0,0,0.65,0,1.47,0.83,0,0,0,0,0,0,0,0,0,0,0,0,47.33,0,0,0.78,0,0,0,0,14.87,0,0,0
 36-46,0,0,0,0,0,0,4.6,1.19,0,1.02,0,0,2.07,0,0,0,0.86,0,0,0.69,54.35,0,0.73,1.03,0,0,0.81,0,14.74,0,0.69,0
 48-58,0,0,0.67,0,2.29,0,13.37,0.44,0.55,4.24,0,0,0,0,0,0,4.32,0,0,0,29.08,0,0,0,0,0.87,0,0,13.68,0,0,0
 60-70,0,0,0.6,0,0,0,22.6,0,0,3.45,0,0,0,0,0.73,0,3.48,2.07,1.71,1.88,33.54,0,3.15,0,0,0,0,0,3.63,0,0,0
 72-82,0,0,0,0,0,2.46,11.25,0,0,2.63,1.04,0,1.73,0,0,0,8.77,0,0,0,19.65,0,3.75,0.76,0,0,0,0,2.84,0,1.15,0.79
 84-94,0,0,2,0,0,0,5.87,2.61,0,9.39,2.97,0,0,0.79,0,0,6.43,0,0,0,11.37,0,0,3.33,0,0,0,0,3.34,0,6.84,0
 96-106,0,0,1.99,0,0,0,11.05,0,0,11.76,3.01,2.59,0,0,0,0,13.57,0,0,0,8.89,0,0,1.33,0,0,0,0,6.84,2.19,1.04,0
108-118,0,0,0,0,0,0,7.27,0,0,1.99,7.16,0,0,0.65,1.45,3.44,11.63,0,0,0,13.91,0,2.17,3.37,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,2.91,0,0,0,8.85,0,3.6,0,0,0,5.6,0,0,0,28.97,0,20.02,1.51,0,0,0,0,11.04,0,0,0
