stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.46,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.86,0,0,0,0,0,1.71,0,0,0,0,0,0,0,3.28,0,0,0,28.18,0,0.86,0,0,0,0,0,0,53.76,0,0,0,0,0
 24-34,0,0,2.23,1.43,0,0,5.72,0,0,0,6.05,0,0,0.82,0,0.92,0,6.15,10.67,0,0,3.78,202.88,0,10.71,9.55,0,0,0,1.73,1.75,158.32,0,0,2.26,0,0
 36-46,0,0,0,0,0,0,8.11,0,0,0,9.28,0,4.3,1.14,0,0,0,0,7.28,0,0,1.8,388.55,0,21.8,1.23,0,0,1.05,0,0,241.31,0,0,1.83,0,0.74
 48-58,0,0,0,9.32,0,0,36.23,0,0,0,21.36,0,1.57,0,0,1.59,0,0,11.2,0,0,0.49,427.01,5.2,8.58,5.4,0,0,0,0,0,126.73,0,0,0.82,0,4.35
 60-70,0,0,0.7,0.59,0,0,141.3,0,1.18,3.56,8.53,0,0,6.66,0,0.64,0,0,15.31,0,0,0.59,594.99,0,10.84,16.55,0,0,0,0.58,0,162.42,0,0,1.16,0,5.74
 72-82,0,0,0,2.2,0.77,0,114.9,0,0,0,27.52,0,0,1.12,0,7.44,0,0,8.7,0.78,0,0,527.07,0,16.2,48.94,0,0,0.72,0,0,78.76,0,0,4.82,0,4.01
 84-94,0,0,0,0,0,0,94.09,0,0,1.45,23.77,2.04,0,1.94,0,6.9,0,0,7.69,0,0,0,296.14,0,3.81,33.35,0,0,0,0,0,55.67,0,3.4,0,0.6,0
 96-106,0,0,1.14,0.85,0,0,121.41,0,0,3.72,10.77,0,0,3.28,0,16.4,10.14,0,13.41,2.41,0,0,237.07,0,16.38,40.37,0,0,1.63,0,0,37.2,0,1.93,3.76,2.22,0
108-118,0,0,0,6.72,0,0,166.02,0.67,0,0,38.98,0.64,0,2.46,0.64,15.86,0,0,23.01,0,2.22,0.53,416.14,0,13.65,31.66,0,0,2.3,0,0,11.36,0.68,0,0.42,2.49,0
120,0,0,0,6.28,0,7,191.54,0,0,0,30.72,0,0,6.08,0,18.16,0,0,16.84,0,0,2.81,544.78,0,28.57,28.22,0,12.66,0,0,0,30.14,0,0,14.86,0,0
