stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.97,357.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.71,398.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.54,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.46,8.54,0,0,33.52,0,0,12.75,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.85,0,0,25.38,0,0,0,0,0,0,0,2.74,0,2.74,0,0,0,1.13,0,0,56.17,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,6.68,0,0,0,0,0,0,0,0,0,2.03,0,0,0.62,0,0,0,157.73,1.42,0,0,0,0,3.59,0,2.92,0,0,7.51,0,0
 36-46,0,0,0,0,0,0,0.75,0,0,0,0,0.79,0,2.36,0,0,1.26,0.87,0,0,834.87,0,0,0,0,0,0,0,0,11.58,0,0,0,0
 48-58,0,0,0,6.65,0,0,31.65,0,0.97,0,0,0,0.45,0,0,0,5.05,1.22,0,0,674.54,0.5,0,0,0,0.39,4.84,0,0,5.3,0,0,0,0
 60-70,0,0,0,1.29,0,0,220.04,0,0,2.04,0,0,0,0,0,0,0,0.88,0,0,454.77,0,0,0,0,0,0,0,0,7.1,0,0,0,0
 72-82,0,0,1.62,1.26,0,0,529.99,0,0.9,3.95,0,0,0,0,0,0,0,1.95,0,1.95,1206.71,0.9,0,0.76,0,0,0.55,0,0,58.28,12.62,1.46,0,5.96
 84-94,0,0,0,0,0,0,277.68,0,0,33.22,0.73,0,0,0,0,0,0,0,1.01,0,1093.56,5.3,0,0,0,0,2.04,0,0,15.32,0,0,2,0
 96-106,0,0,0,11.27,3.94,1.52,305.62,0,0,37.73,0,0,0.58,0,0,21.24,0,4.83,2.02,0,1533.46,5,2.72,0,0,0,0,0,0.68,6.51,0,0,0,0
108-118,0,0,0,1.89,2.74,0,736.6,0.6,0,58.16,22.4,0,1.66,0,0.9,0,0,6.01,0,3.65,1496.55,0,0,0,0,0,0,0,0,3.01,0,2.28,0,0
120,0,0,0,1.23,0,0,974.78,0,0,120.7,0,0,0,0,0,0,0,0,0,0,4616.82,0,0,0,0,0,6.02,0,0,0,0,0,0,0
