stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0
  5-6,95.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.2,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,58.08,7.38,0,0,10.88,0,0,0,0,0,0,0,0,0
 10-12,0,25.84,0,0,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.38,4.45,0,0,13.84,0,0,4.48,0,0,0,0,0,0
 14-21,0,0,16.11,1.72,0,0,0,0,0,0,0,0,0,0,0,10.05,0,0,7.28,12.21,0,0,1.85,0,0,1.71,0,2.58,0,0,0,0,0
 24-34,0,0,9.24,0,0.73,0,0,0,0,0,0,0.92,0,0,0,11.37,0,0,4.26,8.13,0,0,0.79,0,0,0,0.7,1.85,0,0,0.71,0,0
 36-46,0,0,9,0,2.26,0,0,0,1.01,0,0,2.07,0,0,0,8.54,0.65,0,1.35,10.48,0,0.63,1.34,0,0,0,0,2.08,0,0,0,0,1.02
 48-58,0,0,16.41,0,4.21,0,2.55,0,4.63,0,0,0,0,0,0.96,140.45,0,0,0,48.98,0,0.38,0.45,0,0,0,0,7.2,0,0,0,0,0
 60-70,0,0,13,0,2.58,2.66,3.05,0,4.15,0,0,0,0,0,0,503.84,0,1.33,2.85,85.84,0,1.33,0,0,1.64,0,3.12,4.66,0,0,0,0,0
 72-82,0,0,10.32,0,7.28,0,0,0.62,0.79,0.53,0,0,0,0,0,673.46,0,0,0,91.17,0,0.56,2.46,0,0,0,0,5.34,0,0.85,0,0.96,0
 84-94,0,0,2.97,0,15.92,0,0,0,3,7.87,0,0,0,0,0,539.27,0,1.64,0,56.36,0,0.56,2.97,0,2.24,0,2.22,2.23,0.97,0.63,1,0,0
 96-106,0,0,4.88,0,3.56,0,0,1.49,9.17,3.09,0,0,0,0,0,339.23,0,0,0,87.23,0,1.02,3.48,0,0,0,1.09,6.12,1.68,0,0,0,0
108-118,0,0,1.94,0,11.7,0,1.12,0.6,7.13,6.17,0,0,0,0.56,0,283.97,0,0,2.85,40.33,0,0,1.05,0,0,0,0.45,3.94,0,0,1.29,0,0
120,0,0,5.97,0,0,0,0,0,0,0,0,0,3.03,0,1.86,217.92,0,0,0,88.92,0,7.18,0,0,0,0,3.15,0,0,0,0,21.3,0
