stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle
  3-4,14.62,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.81,0,0
 10-12,0,0,0,0,0,15.48,0,0,0
 14-21,0,0,0.98,0,0,3.6,0,0.97,0
 24-34,0,0,0,0,0.89,13.99,0,0.87,0
 36-46,0,0,0,0,0,4.17,0,0,0
 48-58,0,0,0,0,0.39,0,0,0,0
 60-70,0,0,0,0.85,0.83,5.01,0,0,0
 72-82,0,0,0,0.49,4.35,4.8,0,0,0.66
 84-94,0,0,0,0,1.38,0,0,1.93,0
 96-106,0,0,0,0,0,6.79,0,0,0
108-118,0,0,0,0,0,1.56,0,0,0
120,0,1.16,0,0,0,0,0,0,0
