stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,7.44,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0
 14-21,0,3.12,0,0,0,0,0,0,0,0,0.84,5.07,0,7.66,0,0,0,0
 24-34,0,0,0.69,0,2.33,0,0,0.65,0,0,0.63,10.05,0.62,1.01,0.72,0,3.32,0
 36-46,0,7.4,0,0,0.89,0,9.25,0,0,0,1.1,26.44,0,2.49,1.56,0,0,0
 48-58,0,0,1.82,0,1.62,0,0,0,0,0.47,0.45,17.58,0,2.1,4.39,0,0,0
 60-70,0,0.88,0,0,5.74,3.95,0,0,0,4.31,0,18.53,0,0.76,0,0,11.59,0
 72-82,0,1.25,6.42,0,16.94,7.32,0,0,0,3.1,0,15.58,0,1.75,3.92,0.5,4.08,0
 84-94,0,0,0,0,9.52,0,0,0,1.92,0,0,17.68,0,0,0,0,0,2.64
 96-106,0,0.6,0,0,1.39,0.62,0,0,0,0,0,27.74,0,0,0,0,0.71,0
108-118,0,0,0,0,5.47,0,0,0,0,0.87,0.81,9.84,0,0,0,0,0,0
120,0,0,0,1.8,1.97,22.15,0,0,0,0,0,41.28,0,5.19,0,0,0,0
