stage,blastomeres,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
  5-6,17.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.85,1,1.79,0.82,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.72,0,0,0,0,0,4.52,0
 36-46,0,0,0,0,0,0,0,0,0,1.13,0,0,0.58,0,9.37
 48-58,0,0,8.07,1.09,0.45,0,0,1.46,0,0,0,0,0.86,0,0
 60-70,0,0,0.96,0,0,3.03,0,0,0,0,0,0,0,0,0
 72-82,0,5.8,3.18,0,0,2.52,0,0,0,0,0,0,0,0,0
 84-94,0,0,3.28,0,0,0,0,4.6,0,0,0,0,0,0,0
 96-106,0,5.34,0,0,0,0,0,0.61,0,2.91,0,0,0,1.56,0
108-118,0,0,0,0,0,0,0,1.55,0,0,9.42,0.99,0,0,0
