stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,11.93,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.77,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.76,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,4.59,0,0,0,0,0,0,0
 24-34,0,0,1.26,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,9.3,0,0.68,0,0,0,3.36,0,0,0,0,7.49,0,0,1.06,0,0,0,0
 36-46,0,0,0.63,0,0,0,0.77,0,0,0,0,2.75,0,0,0,0,0,0,3.45,8.01,0,0,0,0,1.97,0,0,0,0,14.1,0,0,0,0,0,0,0
 48-58,0,0,0.43,0.4,0,0,1.06,0,0,0,0,9.22,0,0,0,0,0,0,1.66,0,2.64,0,0,0,1.66,2.57,0,0,0,15.6,0,0,0.54,0,0,0,0
 60-70,0,1.1,0,5.93,0,0,3.34,0,0,0,0,40.18,1.71,0,0,0,0,0,32.82,4.05,0,0,0,0,1.59,1.78,0,0,0,31.82,0,0,5.74,0,0,0,0
 72-82,0,19.58,0,11.72,0,0,5.26,0,0,0.81,0,170,0,0,0,0,4.3,0,35.53,0,10.45,0,0,1.68,35.8,0,0,0,0,17.45,0,4.35,0,1.61,1.09,0.77,0
 84-94,0,19.74,0,43.17,0,0,0,0,11.33,0,3.25,491.84,0,0,0,3.82,0,0,176.11,0,5.96,0,0,0,47.29,0,0,0,0,85.76,0,0,0,11.47,0,0,16.12
 96-106,0,28.24,1.07,193.1,31.99,0.97,82.49,0,2.53,0,9.48,1844.04,0,1.52,7.64,4.23,6.6,1.53,750.2,0,59.04,2.15,3.05,5.06,474.71,6.26,4.21,0,0,155.01,0,0,16.93,15.64,3.3,0.91,0
108-118,0,25.58,4,237.88,12.46,3.69,104.61,1.11,4.47,11.61,15.45,3807.88,0,0,3.34,14.42,2.5,0.61,1360.27,0.91,41.22,13.27,0,1.94,628.94,0.47,2.1,0,4.06,152.01,0.5,0.82,0.42,19,6.58,2.27,0
120,2.37,28.98,3.17,284.94,2.69,0,77.81,0,15.72,0,19.6,3721.8,0,0,7.55,3.3,0,6,992.63,1.61,25.69,0,7.55,3.5,815.98,9.51,0,0,2.03,75.57,0,0,0,17.06,8.68,2.57,11.71
