stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.32,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.23,52.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.5,0,3.28,0,0,17.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.79,4.71,0,0,17.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.81,0,0,0,31.61,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.72,1.83,1.9,0,0,0,0.9,0,1.35,0,0,0,0,0,0,0,0,0,0,0.97,21.89,0,0,0,0,0,1.95,0.81,9.02,0,0,0,0,2.45
 24-34,0,0,0,0,2.18,0,2.75,0,0.8,0,5.65,0,0,0,0,0,0,0,0,0.67,2.01,0,0,2.2,51.73,0,0,1.91,0,1.84,0,0,13.12,0,0,2.11,0,0.75
 36-46,0,0,0,0,2.69,0,3.57,3.75,0.56,0,1.7,0,0,0,0,0,0,0,0,0,4.06,3.23,0,0.78,41.92,0,0,0,0,5.6,0,0,15.87,0,0,0,0,3.2
 48-58,0,0,0,0,5.28,0,13.63,0,0,1.41,5.26,0.64,0,0.59,0,0,0,0,0,0,9.95,0,0,0,60.71,0,0,0,0,0,0,0,6.65,0,0,0,0,2.29
 60-70,0,0,0.89,0,1.5,0,36.57,0,4.81,0.73,7.52,0,0,0,0,0,0,0,0,0,8.15,0,5.32,0,55.63,0,0,0,0,0,0,0,4.82,0,0,0.88,0,0
 72-82,0,0,0,0,0,1.62,29.35,0,0,0,3.48,0.72,0,0,0,0,0,0,0,0,18.49,0,0,2.75,81.36,0,0,1.24,0,0,0,0,3.38,0.53,3.83,4.17,0,0
 84-94,0,0,0,0,1.46,4.05,34.3,0,1.14,0,6.92,0,0,0,1.21,0.64,1.02,0,0,0,6.03,0,0,2.91,59.05,0,0,0,0,2.91,0,0,0,0,0,0,2.03,0
 96-106,0,0,0,0,0,0,18.07,0,2.87,0,0,0,0,0,1.41,0,0,1.05,0,0,14.37,0,0,4.09,28.89,0,0.69,0,0,4.88,0,0,0,0,0,2.26,0.58,0
108-118,0,0,0,0,6.06,0,17.35,0,0,0,0.79,5.35,0,0,1.14,0,1.34,0,0.59,0,5.93,0,1.62,0,38.75,4.82,0,0,0,3.05,0,0,0,1.55,1.18,2.85,0,0
120,0,0,0,0,3.78,7.95,11.64,0,2.12,0,16.61,2.12,0,0,0,0,0,0,0,0,17.27,0,0,3.01,75.25,0,0,6.6,0,1.25,0,0,1.91,2.39,0,3.09,0,0
