stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,9.59,308.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,131.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.91,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.34,0,0,0,21.58,0,0,6.56,0,0,0,0,0,0,0
 14-21,0,0,0.82,27.14,126.45,12.35,0,0.82,0,28.62,0,0,26.37,0,0,0,0,0,24.08,0,11.14,11.06,0,0,5.06,0,0,0,0.9,0,3.09,4.34,0,0,0,0
 24-34,0,0,0,26.18,17.11,0.88,0,4.51,0,29.44,0,0,7.49,0,0,0,0.68,4.83,81.51,0,21.46,32.32,2.43,0,0.68,0,0,0,0,1.54,2.79,6.67,0,0,2.48,0
 36-46,0,0,0,7.79,5.43,0,0,6.84,0,13.91,0.97,0,1.39,0,0,0,0,2.49,145.69,0,16.59,14.56,0.88,1.22,0,0,0,0,0.81,0,0,4.99,0,0,0,0
 48-58,0,0,0,0.43,6.26,0,0,9.51,0,5.23,4.04,5.85,1.17,0.56,0,0,0,0,139.97,0,10.77,37.31,1.23,1.13,3.93,0,0,0,0,1.46,0,17.37,0,0,0,0.9
 60-70,0,0,0,0,4.29,0,0,18.12,2.44,0,0,6.38,0,0,0,0,0,1.87,121.83,1.05,4.19,16.92,0,0,1.35,0,0,0,0,0,0,17.15,0,1.31,0,1.46
 72-82,0,0,0,0,6.53,0,0,44.94,5.69,0,1,26.64,0,0,1.1,0,0.88,0,192.31,7.14,3.98,45.51,0,0,0.97,0,0,0,0,0,0,13.67,3.4,1.34,0,0
 84-94,0,0,3.38,0,6.89,0,0,50.14,0.9,0,0.59,13.2,0,0,0,0,1.91,0,129.36,12.62,10.02,42.99,0,0,2.97,0,0,0,0,0,0,20.09,3.74,0,0,3.26
 96-106,0,0,0,0,4.07,0,0,50.9,4.9,0,2.73,25.66,0,0,0,0,0,0,91.9,9.67,5.73,22.28,0,0,0,0,1.47,0,3.39,0,0,2.02,0,1.27,0,0
108-118,0,0,0.95,0.45,0,0,1.74,34.45,1.57,0.52,0,20.95,0,0,0,3.67,0,0,129.23,1.3,4.78,34.93,0,0,0.63,0,4.27,0,0,0,0,0,0,0.99,0.53,2.96
120,0,0,14.01,0,0,0,0,49.56,1.16,0,0,64.34,0,0,0,0,0,0,38.18,0,1.24,30.69,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0
