stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.5,29.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,56.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.08,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,11.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,261.99,0,0,0,0,0,0,0,0,0,0,0,3.02,0,1.02,0,0,7.26,0,0,0,0,0,2.44,0,0,0,0,0,0
 24-34,4.02,0,0,0,1697.76,0,2.45,15.53,0.62,0,0,1.47,0,0,0,6.2,2.07,19.07,27.71,0,4.75,89.34,0,1.45,0.75,0,0,8.94,0,17.25,0,3.52,0,1.93
 36-46,0,0,0,0,1625.82,2.17,2.26,71.22,1.09,1.94,0,0,0,0,0,8.73,0,6.71,12.87,0,3.08,77.12,0,9.57,0,0,0,3.72,0,10.75,0,0,0,0
 48-58,0,0,0,0,949.29,0,23.77,96.04,4.42,3.73,0,0,0,0,0,15.39,0,7.68,18.93,0,0.63,77.75,0,0,1,0,0,1.28,0,17.33,0,2.59,0,14.05
 60-70,0,0,0,0,700.95,0,16.15,60.24,0,4.82,0,0,0,0,0.72,5.45,0,1.76,8.5,0,0.76,25.33,0.58,1.35,0,0,0,3.17,0,3.66,0,1.37,0,0
 72-82,0,0,0,0,612.83,0,28.05,51.36,0.71,3.66,0.51,0,0,0.52,0,14.04,0,5.24,6.88,0,0,19.53,0,3.96,0,0,0,0,0,0.81,1.33,0,0,0
 84-94,0,0,0,0,1141.29,0,19.46,81.62,0,0,1.72,0,1.6,0,3.25,17.66,0,16.24,10.06,0,0,24.88,0,0.78,0,0,0,2.07,0,4.02,2.09,5.81,0.89,0
 96-106,0,0,2.46,0,1252.26,2.8,20.35,82.96,0,2.36,13.62,0,0,0,0,6.42,0,8.52,8.05,0,2.14,56.94,0,10.33,0.65,0,0,2.21,0,2.39,3.94,1.44,0,0
108-118,0,0,0,0,1659.39,2.57,24.56,96.46,0,1.8,34.99,0,0,0.57,0,2.5,0,8.73,6.79,0,0,36.94,0,4.58,1.88,0,2.35,4.19,0,3.65,9.8,0,0,0
120,0,0,0,0,1099.68,0,6.79,75.71,0,6.5,3.33,0,0,0,0,0,5.65,5.95,7.53,8.33,0,35.09,0,2.4,0,0,0,1.42,2.12,0,3.61,15.72,0,0
